,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
63,1000,0.25,1.0,2,250,random_uniform,3,0.0,0.006944444444444444,False,376.58343505859375,-0.011097719122580623,0.9955327465539334,0.04135725021362302,-0.0013573169708251953,0.0,0.02,0.02,0.07,0.1
6,10000,1.0,1.0,2,250,random_uniform,3,0.0,0.1111111111111111,False,3756.270751953125,-0.016068758481828746,0.9905964135122157,0.04409362330581201,0.00013107061386108398,0.0,0.030303030303030304,0.04040404040404041,0.050505050505050504,0.1111111111111111
11,1000,1.5,1.0,2,250,random_uniform,3,0.0,0.25,False,364.1593322753906,0.00900438849829122,0.9560760432322807,0.05141230544658626,-0.006844878196716309,0.0,0.0,0.0,0.030303030303030304,0.13131313131313133
104,10000,0.75,1.0,2,250,real_weights,3,0.0,0.0625,False,4398.978515625,0.99999999999956,0.9543121892407631,0.05165427983409232,-0.0075304508209228516,0.0,0.010101010101010102,0.020202020202020204,0.06060606060606061,0.1111111111111111
94,1000,0.75,1.0,2,250,real_TRE_Q,3,0.0,0.0625,False,318.51348876953125,-0.15227080843995736,0.9542985086919148,0.05139720439910889,-0.0024750232696533203,0.0,0.01,0.02,0.05,0.11
49,5000,0.1,1.0,2,250,real_weights,3,0.0,0.0011111111111111113,False,2491.652587890625,0.9999999999875869,0.9538531783396514,0.05145707607269287,0.010459065437316895,0.0,0.01,0.03,0.07,0.13
38,10000,0.05,1.0,2,250,real_weights,3,0.0,0.00027777777777777783,False,4994.751953125,0.9999999999422241,0.9473183434433566,0.05256157451205784,0.009889304637908936,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.050505050505050504,0.08080808080808081
66,5000,0.25,1.0,2,250,real_weights,3,0.0,0.006944444444444444,False,2471.189697265625,0.9999999999961109,0.943889952270605,0.052714500427246125,0.0028742551803588867,0.01,0.03,0.05,0.08,0.1
77,1000,0.5,1.0,2,250,real_weights,3,0.0,0.027777777777777776,False,477.5023498535156,0.9999999999991661,0.9403094070616024,0.05313372135162353,-0.017085790634155273,0.0,0.0,0.02,0.08,0.13
9,1000,1.5,1.0,2,250,real_TRE_Q,3,0.0,0.25,False,333.80474853515625,-0.09996817908282737,0.9381334497006818,0.053650320178330546,0.005050480365753174,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.050505050505050504,0.09090909090909091
80,1000,0.5,1.0,2,250,random_uniform,3,0.0,0.027777777777777776,False,381.2469482421875,-0.00875929937924231,0.9342404447806659,0.05381234645843502,-0.002475053071975708,0.0,0.01,0.01,0.03,0.08
101,5000,0.75,1.0,2,250,NCE_Q,3,0.0,0.0625,False,2319.575927734375,-0.026280904644325063,0.9213056141280438,0.055149679183959965,-0.0069061219692230225,0.0,0.02,0.05,0.05,0.08
12,1000,1.5,1.0,2,250,rulsif,3,0.0,0.25,False,205.1244354248047,-0.03903414716078233,0.9165796519081469,0.05588821570078528,-0.010433703660964966,0.0,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.06060606060606061
74,10000,0.25,1.0,2,250,random_uniform,3,0.0,0.006944444444444444,False,3753.129150390625,0.003316126595567645,0.9014323782767021,0.05727933994447342,0.004364967346191406,0.0,0.0,0.0,0.020202020202020204,0.050505050505050504
41,10000,0.05,1.0,2,250,random_uniform,3,0.0,0.00027777777777777783,False,3742.94921875,0.006345270793366069,0.8951564534207174,0.05782377238225456,-0.011119157075881958,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0707070707070707
8,1000,1.5,1.0,2,250,real_weights,3,0.0,0.25,False,283.7843933105469,0.9999999999998022,0.8764557029367772,0.05906185150146481,0.0046308040618896484,0.0,0.01,0.03,0.05,0.1
87,5000,0.0,1.0,2,250,NCE_Q,3,0.0,0.0,False,2455.953125,0.2369630115969437,0.8708204499196013,0.05950098991394048,-0.004950106143951416,0.0,0.01,0.02,0.04,0.08
