,nce_style,d_Z,beta_xy,$/beta_{xz}$,n,p_a=0.05
0,hdm,1,0.0,0.75,1000,0.03
1,hdm,1,0.01,0.75,1000,0.03
2,hdm,1,0.02,0.75,1000,0.06
3,hdm,1,0.03,0.75,1000,0.06
4,hdm,1,0.04,0.75,1000,0.07
5,hdm,1,0.05,0.75,1000,0.09
6,hdm,1,0.0,0.75,5000,0.07
7,hdm,1,0.01,0.75,5000,0.07
8,hdm,1,0.02,0.75,5000,0.07
9,hdm,1,0.03,0.75,5000,0.07
10,hdm,1,0.04,0.75,5000,0.08
11,hdm,1,0.05,0.75,5000,0.08
12,hdm,1,0.0,0.75,10000,0.06
13,hdm,1,0.01,0.75,10000,0.07
14,hdm,1,0.02,0.75,10000,0.08
15,hdm,1,0.03,0.75,10000,0.08
16,hdm,1,0.04,0.75,10000,0.08
17,hdm,1,0.05,0.75,10000,0.08
