,nce_style,d_Z,beta_xy,$/beta_{xz}$,n,p_a=0.05
0,hdm,1,0.0,0.75,1000,0.05
1,hdm,1,0.01,0.75,1000,0.1
2,hdm,1,0.02,0.75,1000,0.27
3,hdm,1,0.03,0.75,1000,0.5
4,hdm,1,0.04,0.75,1000,0.75
5,hdm,1,0.05,0.75,1000,0.94
6,hdm,1,0.0,0.75,5000,0.02
7,hdm,1,0.01,0.75,5000,0.24
8,hdm,1,0.02,0.75,5000,0.79
9,hdm,1,0.03,0.75,5000,1.0
10,hdm,1,0.04,0.75,5000,1.0
11,hdm,1,0.05,0.75,5000,1.0
12,hdm,1,0.0,0.75,10000,0.07
13,hdm,1,0.01,0.75,10000,0.4
14,hdm,1,0.02,0.75,10000,0.98
15,hdm,1,0.03,0.75,10000,1.0
16,hdm,1,0.04,0.75,10000,1.0
17,hdm,1,0.05,0.75,10000,1.0
