,npi_school_closing,npi_workplace_closing,npi_cancel_public_events,npi_gatherings_restrictions,npi_close_public_transport,npi_stay_at_home,npi_internal_movement_restrictions,npi_international_travel_controls,npi_income_support,npi_debt_relief,npi_fiscal_measures,npi_international_support,npi_public_information,npi_testing_policy,npi_contact_tracing,npi_healthcare_investment,npi_vaccine_investment,npi_masks,cases_total,cases_new,deaths_total,deaths_new,cases_total_per_million,cases_new_per_million,deaths_total_per_million,deaths_new_per_million,tests_total,tests_new,tests_total_per_thousand,tests_new_per_thousand,stats_population,stats_population_density,stats_median_age,stats_gdp_per_capita,cases_days_since_first,deaths_days_since_first,mobility_retail_recreation,mobility_grocery_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,mobility_travel_driving,mobility_travel_transit,mobility_travel_walking,stats_hospital_beds_per_1000,stats_smoking,stats_population_urban,stats_population_school_age,deaths_excess_daily_avg,weather_precipitation_mean,weather_humidity_mean,weather_sw_radiation_mean,weather_temperature_mean,weather_temperature_min,weather_temperature_max,weather_wind_speed_mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.2,13.6,3.6,0.0,163.2608,1.1096,0.9136000000000001,0.0,422159.0,1350.8,112.5308,0.39499999999999996,9945142.2,342.8178,18.16,1002.9646,309.0,219.8,-10.8,-12.0,29.0,-28.2,-38.6,4.4,103.726,101.556,116.328,0.9120000000000001,17.66,2043126.4,17120.0,-1.8685714285714283,3.238518957004999e-06,0.0169003810733556,220.26498413085932,27.246809005737305,26.73281288146973,27.70937538146973,9.019097328186035
1,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1312.4,7.2,109.0,1.6,1682.78,9.232,23.029400000000003,0.0978,592173.8,1625.2,759.2947999999999,2.084,631824.0,3886.4504,28.6,8708.597,374.6,122.4,-70.0,-36.0,-62.0,-71.0,-69.0,34.0,54.44199999999999,80.78,63.924,4.152,34.61999999999999,2282009.0,17120.0,-1.8685714285714283,0.0,0.0165061950683593,284.4317321777344,26.94577980041504,26.51601600646973,27.44960975646973,9.745659828186035
2,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,175.8,0.8,3.6,0.0,29.959600000000002,0.06520000000000001,0.9136000000000001,0.0,592173.8,1625.2,759.2948,2.084,2884856.4,102.24940000000001,20.6,2048.3806,114.6,-124.4,-18.0,2.0,-20.0,-40.0,-22.0,10.0,103.51400000000001,90.378,101.766,1.278,32.839999999999996,2282009.0,17120.0,-1.8685714285714283,1.1523563898663271e-06,0.0190925598144531,271.071533203125,27.89516639709473,27.64296913146973,28.28945350646973,9.095051765441896
3,2.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4301.4,26.4,114.2,1.6,16881.4902,138.90019999999998,173.8254,0.0978,479898.6,1639.8,615.3337999999999,2.1028000000000002,3599668.0,7752.6376,21.520000000000003,8708.597,355.2,215.8,-20.0,-2.0,1.0,-51.0,-18.0,8.0,67.96600000000001,103.194,90.23999999999998,8.802,29.919999999999998,2282009.0,17120.0,-1.8685714285714283,1.7009456665771837e-05,0.012910038231963562,203.3289829474797,20.942606867464104,18.9687908305793,22.385249126226363,7.059929541244332
4,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,8823.6,3.0,423.6,0.0,5007.2822,50.668400000000005,41.038799999999995,0.0,574097.8,541.0,1194.4370000000001,0.6938,13097410.6,25.8616,16.94,1002.9646,279.8,261.4,-55.0,-77.0,52.0,-56.0,-72.0,22.0,71.082,84.328,83.162,3.4560000000000004,19.88,2282009.0,17120.0,-1.8685714285714283,1.556781115739024e-05,0.0105700759706704,216.15961582258848,17.479437386166317,15.031088153291842,20.254107716920394,5.034252167774592
5,3.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,937.4,23.4,51.2,0.8,9477.302800000001,236.5786,554.8316,9.215,135713.4,172.4,1759.813,4.5068,107195.0,584.8,41.2,35973.781,-223.0,-223.0,2.0,30.0,37.0,-47.0,-24.0,-5.0,42.474000000000004,59.572,33.623999999999995,3.96,29.619999999999997,2349897.2,17120.0,-11.462857142857143,5.233477621093486e-05,0.012031804626204758,168.44575391877726,14.745160756412076,12.224747592409129,16.36582810458689,7.069483466538155
6,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,937.4,23.4,51.2,0.8,9477.302800000001,236.5786,554.8316,9.215,135713.4,172.4,1759.813,4.5068,107195.0,584.8,41.2,35973.781,-132.0,-132.0,14.0,10.0,59.0,-25.0,-9.0,-8.0,42.474000000000004,59.572,33.624,3.96,32.3,2349897.2,17120.0,-11.462857142857143,7.306495308763302e-05,0.011035974581119979,169.1372855740246,16.01437059386276,14.154068458779872,18.42988688841933,3.43681054415054
7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,937.4,23.4,51.2,0.8,9477.302800000001,236.5786,554.8316,9.215,135713.4,172.4,1759.813,4.5068,107195.0,584.8,41.2,35973.781,-40.0,-40.0,16.0,19.0,57.0,-30.0,-9.0,-8.0,42.474,59.572,33.624,5.978000000000001,26.82,17943582.4,17120.0,-11.462857142857143,1.3590091407881004e-05,0.0093625397872465,194.78297884798604,15.276270165499465,13.262467880657919,17.727657901183242,4.785930540496658
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12433.8,50.2,443.6,2.4,421.22880000000004,2.0284,11.328,0.0602,337539.0,915.4,81.6254,0.22960000000000003,17771428.8,349.334,17.72,922.5774000000001,319.0,303.0,20.6,17.2,5.2,-13.8,-17.0,4.4,120.776,81.41199999999999,123.636,0.39,17.66,4221532.0,9292896.0,49.53151551634388,5.3592312192922e-05,0.0039785275830919,50.94397311215525,2.466299628832596,-0.4684540061729316,5.929811166443408,2.0885985905942124
9,3.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,192.0,26.0,4.0,0.0,4.82,0.653,0.1,0.0,1077770.8,14203.4,28.2692,0.37160000000000004,39835428.0,54.422,18.6,1803.987,37.0,9.0,-44.0,-24.0,-9.0,-38.0,-37.0,11.0,71.57199999999999,65.68,55.062,0.39,29.620000000000005,4221532.0,9292896.0,-55.18512974853528,4.95545548188639e-05,0.0062315612024473,146.18082516919858,8.596362845576104,4.2321139778310135,12.969920459931364,2.050608385571536
