,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
106,1000,0.025,1.0,2,250,real_TRE_Q,50,0.002,0.00012207031250000008,True,242.88584899902344,0.04269101743349918,0.9931691713505907,0.042734537124633765,-0.005349308252334595,0.0,0.02,0.03,0.04,0.11
136,1000,0.025,1.0,2,250,random_uniform,50,0.0,0.00012207031250000008,True,380.3406982421875,0.023747401913015907,0.9826703182465834,0.04634735107421872,0.00271451473236084,0.0,0.0,0.05,0.05,0.12
110,1000,0.025,1.0,2,250,random_uniform,50,0.002,0.00012207031250000008,True,375.2193908691406,0.05740230271712134,0.9506610036825207,0.051876296997070304,-0.003153681755065918,0.0,0.02,0.06,0.07,0.13
62,1000,0.025,1.0,2,250,NCE_Q,50,0.01,0.00012207031250000008,True,354.44757080078125,0.09729984440435083,0.9355168959575018,0.053672685623168945,7.987022399902344e-05,0.0,0.02,0.02,0.05,0.1
108,1000,0.025,1.0,2,250,NCE_Q,50,0.002,0.00012207031250000008,True,271.08258056640625,-0.027655355153012904,0.9256941596218123,0.05471054077148435,-0.0016366839408874512,0.0,0.02,0.03,0.05,0.14
150,5000,0.025,1.0,2,250,real_TRE_Q,50,0.004,0.00012207031250000008,True,1711.634521484375,0.036682953131617,0.8963846436645747,0.06266039326077416,-0.009694904088973999,0.0,0.0,0.0,0.047619047619047616,0.13095238095238096
174,1000,0.025,1.0,2,250,NCE_Q,50,0.006,0.00012207031250000008,True,297.59869384765625,0.1868436968707932,0.8873817000515483,0.058183574676513666,-0.0007984042167663574,0.0,0.01,0.03,0.04,0.15
172,1000,0.025,1.0,2,250,real_TRE_Q,50,0.006,0.00012207031250000008,True,273.24188232421875,-0.06753376075236764,0.8736521071836745,0.05928142070770265,-0.005987972021102905,0.0,0.0,0.02,0.05,0.12
64,1000,0.025,1.0,2,250,random_uniform,50,0.01,0.00012207031250000008,True,373.28875732421875,-0.043038015389739656,0.8731389180109012,0.05932137489318845,0.018522918224334717,0.0,0.0,0.02,0.04,0.09
100,10000,0.025,1.0,2,250,random_uniform,50,0.0,0.00012207031250000008,False,3745.6298828125,0.01765555167022559,0.8669153119784611,0.05980034828186035,0.008942127227783203,0.0,0.0,0.01,0.03,0.05
109,1000,0.025,1.0,2,250,NCE_Q,50,0.002,0.00012207031250000008,False,313.8603515625,-0.008454401689651883,0.8610958715138299,0.06023948669433593,-0.00634726881980896,0.0,0.02,0.04,0.07,0.12
