,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
26,1000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,False,379.2607421875,-0.024979874371431572,0.8608278139624783,0.06025952339172358,0.004191577434539795,0.01,0.02,0.03,0.04,0.13
2,1000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,True,379.15576171875,-0.024962939860679406,0.8342318199915006,0.06217565536499023,-0.011616796255111694,0.02,0.05,0.07,0.1,0.15
208,1000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,False,373.0097351074219,0.10385503238872856,0.7974020757859781,0.0646506690979004,0.00862276554107666,0.0,0.0,0.0,0.04,0.09
376,1000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,True,373.7272033691406,0.02953682174414993,0.7825242044731803,0.06560873508453369,0.017365217208862305,0.02,0.03,0.04,0.06,0.08
25,1000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,True,382.1673583984375,0.02378412237044781,0.5747384060668743,0.07734537124633789,0.03029942512512207,0.01,0.01,0.02,0.05,0.1
330,1000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,True,366.86224365234375,-0.04502436145299886,0.36699360803270603,0.09043913841247558,-0.01888224482536316,0.01,0.03,0.05,0.08,0.15
402,1000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,True,378.5714416503906,0.051720295958483445,0.20344674202261775,0.10522958755493161,-0.0538124144077301,0.0,0.01,0.05,0.07,0.15
403,1000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,False,379.07659912109375,0.014967615401562323,0.15666236321607682,0.11115759849548335,-0.03500998020172119,0.0,0.01,0.03,0.04,0.07
425,1000,0.05,1.0,2,250,real_TRE_Q,2,0.004,0.0006250000000000001,False,344.3265075683594,0.21186185875759095,0.11892651574503474,0.11708584785461429,-0.06606787443161011,0.02,0.07,0.1,0.12,0.2
377,1000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,False,382.36614990234375,-0.08544162105492567,0.05283575330956902,0.13301397800445558,-0.07265472412109375,0.01,0.03,0.07,0.09,0.14
153,1000,0.05,1.0,2,250,real_TRE_Q,2,0.001,0.0006250000000000001,True,444.989013671875,-0.1299522588001464,0.03175969670222261,0.14209574699401856,-0.0718962550163269,0.03,0.1,0.13,0.19,0.23
197,1000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,True,376.5678405761719,0.04336300492055734,0.03060380890153584,0.1427345371246338,-0.05257484316825867,0.0,0.0,0.0,0.04,0.11
426,1000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,True,455.8238525390625,0.06891698621585193,0.013430921654408092,0.15624752521514895,-0.08383232355117798,0.02,0.04,0.14,0.17,0.25
406,5000,0.05,1.0,2,250,real_TRE_Q,2,0.0,0.0006250000000000001,True,0.0,0.0,0.005455203302143909,0.8602794408798218,-0.4534264802932739,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,1000,0.05,1.0,2,250,real_TRE_Q,2,0.005,0.0006250000000000001,True,314.2384948730469,-0.12750256335595378,0.001924941324690042,0.1841916131973267,-0.0834331214427948,0.07,0.12,0.16,0.2,0.28
373,1000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,False,376.2105712890625,0.08064631273340407,0.001002332741997418,0.19265462875366213,-0.06590819358825684,0.02,0.03,0.05,0.07,0.16
8,5000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,False,1877.3499755859375,-0.014561723714263938,0.0001935476614171469,0.21245509624481201,-0.11952090263366699,0.02,0.06,0.1,0.16,0.24
22,1000,0.05,1.0,2,250,real_TRE_Q,2,0.005,0.0006250000000000001,False,433.8678894042969,-0.04652238753254739,9.514303635346322e-05,0.2204391384124756,-0.11025947332382202,0.06,0.11,0.14,0.2,0.29
385,5000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,True,1883.4361572265625,0.034810539857718176,7.918393704458421e-05,0.22245509624481202,-0.12171652913093567,0.0,0.02,0.07,0.14,0.25
398,1000,0.05,1.0,2,250,real_TRE_Q,2,0.003,0.0006250000000000001,True,412.7770690917969,0.12592324297188098,6.701131976058106e-05,0.22427140235900878,-0.12199601531028748,0.05,0.08,0.14,0.17,0.29
31,5000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,False,1858.64013671875,0.0188347902869863,6.201316146725827e-05,0.22510972499847415,-0.15073853731155396,0.02,0.07,0.16,0.21,0.26
35,5000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,False,1871.8377685546875,-0.025103016728917776,5.415724879563166e-05,0.22656692028045655,-0.14175647497177124,0.05,0.09,0.12,0.14,0.22
400,1000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,True,469.54840087890625,0.19726551732906694,3.5809101107336644e-05,0.23095806598663327,-0.13465067744255066,0.07,0.09,0.15,0.2,0.28
164,1000,0.05,1.0,2,250,real_TRE_Q,2,0.001,0.0006250000000000001,False,445.701416015625,0.35678012255848485,3.115892487350998e-05,0.23241514205932617,-0.09860283136367798,0.05,0.11,0.15,0.19,0.28
175,1000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,True,473.244384765625,0.2335919737495222,2.5665268330088887e-05,0.2344310998916626,-0.13740521669387817,0.03,0.09,0.14,0.22,0.27
372,1000,0.05,1.0,2,250,real_TRE_Q,2,0.002,0.0006250000000000001,False,428.324462890625,0.11608548428736354,1.4476599038371272e-05,0.24027944087982178,-0.14447101950645447,0.06,0.11,0.19,0.24,0.33
286,5000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,True,1836.0196533203125,0.019487486292089254,1.3426030932832379e-05,0.24103785514831544,-0.14351296424865723,0.04,0.11,0.16,0.2,0.28
34,5000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,True,1900.3209228515625,-0.009391816614230825,1.165510869232356e-05,0.24245509624481199,-0.1392015814781189,0.04,0.12,0.19,0.23,0.29
399,1000,0.05,1.0,2,250,real_TRE_Q,2,0.003,0.0006250000000000001,False,396.0277099609375,-0.06927662602308779,4.104313893480052e-06,0.25265462875366207,-0.1455090045928955,0.02,0.12,0.15,0.23,0.3
23,1000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,True,444.5917663574219,0.5819222641741596,3.3777293982986176e-06,0.2545110082626343,-0.1470259428024292,0.04,0.07,0.16,0.23,0.33
0,1000,0.05,1.0,2,250,real_TRE_Q,2,0.0,0.0006250000000000001,True,427.0821533203125,-0.1239810885605693,3.3635393548837284e-06,0.25455096244812014,-0.152175635099411,0.08,0.13,0.21,0.25,0.3
374,1000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,True,460.8425598144531,-0.1819089960705522,2.649071688760064e-06,0.2568064069747925,-0.17053893208503723,0.06,0.12,0.17,0.23,0.32
412,5000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,False,1899.9288330078125,-0.031220321451397293,1.4300566249021232e-06,0.26253488540649417,-0.153932124376297,0.01,0.05,0.11,0.17,0.3
386,5000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,False,1880.6337890625,0.0029419174813588612,1.4115291306908654e-06,0.2626546287536621,-0.1722155511379242,0.01,0.07,0.14,0.19,0.29
1,1000,0.05,1.0,2,250,real_TRE_Q,2,0.0,0.0006250000000000001,False,484.4955139160156,0.6931138014392102,3.659740129977624e-07,0.27475049495697024,-0.16546908020973206,0.06,0.11,0.19,0.27,0.35
401,1000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,False,445.5608215332031,0.608049418373078,1.1201129545937279e-07,0.284910192489624,-0.17277446389198303,0.02,0.06,0.11,0.23,0.29
371,1000,0.05,1.0,2,250,real_TRE_Q,2,0.002,0.0006250000000000001,True,336.7923278808594,-0.3711305531742623,9.50638619832681e-08,0.28628747940063476,-0.13037922978401184,0.09,0.13,0.16,0.23,0.3
24,1000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,False,444.2643127441406,0.5669428297629664,9.32688630451258e-08,0.28644705772399903,-0.15037930011749268,0.06,0.13,0.15,0.18,0.26
375,1000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,False,467.1445007324219,0.511747710905799,7.149577382314619e-08,0.2886626672744751,-0.1792016327381134,0.08,0.12,0.15,0.2,0.3
411,5000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,True,1868.8609619140625,-0.023831470262408592,2.013195621748179e-08,0.29898206233978275,-0.17844313383102417,0.02,0.04,0.1,0.14,0.22
