,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
254,1000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,True,377.6507873535156,0.037814871401778194,0.9526524252533559,0.051616773605346666,0.0061476826667785645,0.0,0.0,0.02,0.04,0.1
111,1000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,True,373.4066162109375,-0.0070522493361895935,0.8570667391921314,0.06053896427154537,0.011377215385437012,0.0,0.0,0.01,0.02,0.09
294,1000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,True,383.10198974609375,0.03940753832780352,0.8538102752820191,0.0607784509658813,0.021357297897338867,0.0,0.01,0.02,0.02,0.08
255,1000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,False,367.2512512207031,-0.030892667830992922,0.8176155018202504,0.06331333637237546,-0.006746470928192139,0.0,0.01,0.04,0.08,0.09
274,1000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,True,378.2194519042969,0.03513555978502588,0.7753593477762185,0.06722550868988036,0.006427168846130371,0.02,0.02,0.06,0.08,0.12
221,1000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,False,374.5325622558594,0.0018652388053976903,0.6581865037130914,0.07293418884277347,-0.02000001072883606,0.0,0.01,0.01,0.04,0.1
295,1000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,False,375.3147277832031,0.033741717275359594,0.4683366140179172,0.08357285976409912,-0.003552943468093872,0.0,0.01,0.03,0.05,0.11
110,1000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,True,372.59674072265625,-0.00834903897725242,0.3868186322242191,0.08900197982788088,0.026307404041290283,0.0,0.02,0.07,0.1,0.15
122,1000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,False,363.5870056152344,-0.00026466646084925366,0.24085018241296596,0.10121758937835695,0.04179638624191284,0.0,0.01,0.02,0.04,0.09
315,1000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,False,374.75823974609375,-0.05663555641733944,0.19572822127025402,0.10612778186798097,-0.040039896965026855,0.0,0.0,0.05,0.1,0.19
275,1000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,False,381.2264404296875,-0.02599661771170334,0.1583687254440008,0.11091811180114741,-0.03453093767166138,0.0,0.01,0.04,0.06,0.15
314,1000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,True,380.7562561035156,-0.008095470453191785,0.017094647383773354,0.15241514205932616,-0.07485023140907288,0.0,0.02,0.04,0.08,0.13
262,5000,0.05,1.0,2,250,random_uniform,2,0.002,0.0006250000000000001,False,1901.346435546875,0.016644719710417973,0.0009960331839973685,0.19273453712463384,-0.10534930229187012,0.05,0.08,0.12,0.16,0.25
320,5000,0.05,1.0,2,250,random_uniform,2,0.005,0.0006250000000000001,True,1879.1444091796875,-0.0009785851519652803,0.0006314697245039689,0.19842318058013914,-0.11544907093048096,0.03,0.07,0.13,0.19,0.26
177,5000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,True,1849.8369140625,0.005327110360320635,0.0004386133900598517,0.20285428047180176,-0.1334531307220459,0.04,0.06,0.12,0.16,0.23
300,5000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,True,1897.873291015625,0.005866606094110109,3.747703912838512e-05,0.2304790925979614,-0.12794414162635803,0.03,0.06,0.1,0.15,0.29
311,5000,0.05,1.0,2,250,random_uniform,2,0.0,0.0006250000000000001,False,1872.4866943359375,-0.01592670921000101,2.998906403694384e-05,0.23281432628631593,-0.14043915271759033,0.02,0.05,0.09,0.17,0.25
88,1000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,True,452.5907287597656,0.1444113795470193,2.5077448704576377e-05,0.23467070579528804,-0.1441117823123932,0.03,0.05,0.13,0.2,0.31
273,1000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,False,479.6527099609375,-0.24838059043292554,1.174870671319527e-05,0.24237518787384033,-0.14259478449821472,0.05,0.05,0.13,0.21,0.31
272,1000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,True,458.6675720214844,0.41090913165923637,2.2484148051633187e-06,0.2583432722091675,-0.16031935811042786,0.08,0.14,0.21,0.27,0.34
301,5000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,True,1897.197265625,-0.027771116187131236,1.7718021737354366e-06,0.2605588817596436,-0.13928145170211792,0.02,0.06,0.2,0.23,0.33
252,1000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,True,482.5756530761719,0.34313742488130966,7.60923090490857e-07,0.2682634830474854,-0.1336527168750763,0.08,0.11,0.16,0.22,0.32
292,1000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,True,455.1561584472656,0.15285261650150206,4.5828959541817977e-07,0.27277449131011966,-0.14554890990257263,0.03,0.1,0.16,0.22,0.29
188,5000,0.05,1.0,2,250,random_uniform,2,0.001,0.0006250000000000001,False,1884.238037109375,-0.01702666143286966,3.0686282975050267e-07,0.27628747940063475,-0.16275447607040405,0.04,0.08,0.14,0.19,0.34
282,5000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,False,1870.510986328125,0.003339679931959648,2.431672956048088e-07,0.2783034372329712,-0.14199599623680115,0.04,0.07,0.14,0.17,0.3
281,5000,0.05,1.0,2,250,random_uniform,2,0.003,0.0006250000000000001,True,1885.1861572265625,0.010543863777444405,1.5044941395087767e-07,0.28241514205932616,-0.169780433177948,0.04,0.09,0.13,0.19,0.36
302,5000,0.05,1.0,2,250,random_uniform,2,0.004,0.0006250000000000001,False,1895.0264892578125,0.02222921527521487,7.081164328570579e-08,0.28874245643615726,-0.1707385778427124,0.08,0.14,0.17,0.22,0.3
99,1000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,False,482.7044677734375,0.44414560768964334,3.455509739312372e-08,0.29463075160980223,-0.185628741979599,0.09,0.14,0.24,0.31,0.37
312,1000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,True,465.3492736816406,-0.6341731128795146,1.710840837143535e-08,0.3002794408798218,-0.1710977852344513,0.11,0.19,0.21,0.27,0.38
