,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
45,1000,0.0,0.5,2,250,real_weights,3,0.5,0.0,67.02273559570312,0.9999999999999998,0.00016288923908954836,0.2144222927093506,0.10095614194869995,0.0,0.0,0.0,0.03
65,1000,0.0,0.5,2,250,real_weights,15,0.5,0.0,67.02273559570312,0.9999999999999998,8.566526210295848e-05,0.22159361362457275,0.11665338277816772,0.0,0.0,0.01,0.03
51,1000,0.01,0.5,2,250,real_weights,3,0.5,1.1222222222222222e-05,67.87635803222656,1.0,2.628720423967295e-05,0.23418322086334228,0.10282868146896362,0.0,0.0,0.0,0.02
71,1000,0.01,0.5,2,250,real_weights,15,0.5,7.890625000000002e-06,70.81269073486328,1.0,1.1737131848117636e-06,0.2643426418304443,0.13864541053771973,0.0,0.0,0.01,0.03
58,1000,0.1,0.5,2,250,real_weights,3,0.5,0.0011222222222222224,69.74858856201172,0.9999999999999999,4.830137408211674e-07,0.2723107099533081,0.16824686527252197,0.0,0.0,0.0,0.0
138,5000,0.0,0.5,2,250,real_weights,3,0.5,0.0,370.5199279785156,1.0,2.261741370552264e-12,0.3638644981384277,0.22980087995529175,0.0,0.0,0.0,0.0
10,5000,0.0,0.5,2,250,real_weights,15,0.5,0.0,370.5199279785156,1.0,8.70102195521878e-18,0.4357370090484619,0.2533864378929138,0.0,0.01,0.01,0.01
144,5000,0.01,0.5,2,250,real_weights,3,0.5,1.1222222222222222e-05,376.1544494628906,1.0,6.161405240690802e-18,0.43752986907958985,0.24589639902114868,0.0,0.0,0.0,0.0
5,5000,0.1,0.5,2,250,real_weights,3,0.5,0.0011222222222222224,350.0180358886719,1.0,9.468780371961975e-21,0.46964145183563233,0.30992037057876587,0.0,0.0,0.0,0.0
78,1000,0.1,0.5,2,250,real_weights,15,0.5,0.0007890625000000004,55.5413818359375,1.0,2.777896725211132e-21,0.4754182863235473,0.31003981828689575,0.0,0.0,0.0,0.0
14,5000,0.01,0.5,2,250,real_weights,15,0.5,7.890625000000002e-06,381.9305419921875,1.0,5.323020227139414e-23,0.4934661245346069,0.2964940071105957,0.01,0.01,0.01,0.01
64,10000,0.0,0.5,2,250,real_weights,3,0.5,0.0,765.9725952148438,1.0,5.129365116531235e-26,0.5232270526885986,0.3119521141052246,0.0,0.0,0.0,0.0
102,10000,0.0,0.5,2,250,real_weights,15,0.5,0.0,765.9725952148438,1.0,4.666906472790668e-27,0.5329880404472351,0.31223106384277344,0.0,0.0,0.0,0.0
89,10000,0.01,0.5,2,250,real_weights,3,0.5,1.1222222222222222e-05,774.8643188476562,1.0,1.3159859693260213e-31,0.5729880404472352,0.32820719480514526,0.0,0.0,0.0,0.0
106,10000,0.01,0.5,2,250,real_weights,15,0.5,7.890625000000002e-06,768.3974609375,1.0,4.3349155164858e-39,0.6309561681747436,0.3643426299095154,0.0,0.0,0.0,0.0
96,10000,0.1,0.5,2,250,real_weights,3,0.5,0.0011222222222222224,734.780029296875,1.0,3.7404947812874434e-48,0.6910358190536499,0.4042230248451233,0.0,0.0,0.0,0.0
47,1000,0.0,0.75,2,250,real_weights,3,0.5,0.0,93.45077514648438,1.0,1.9283332577366268e-58,0.7486852836608887,0.44745028018951416,0.0,0.0,0.0,0.0
