,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
102,5000,0.5,0.5,2,250,random_uniform,50,0.0,1850.3232421875,-0.0008312864503999149,0.9678762643984435,0.0493625545501709,0.0016733407974243164,0.0,0.0,0.03,0.08
156,10000,0.5,0.5,2,250,ones,3,0.0,5000.0,,0.9253940340855714,0.05474101543426513,-0.0009561777114868164,0.01,0.02,0.08,0.13
120,10000,0.5,0.75,2,250,random_uniform,1,0.0,3736.521728515625,-0.014827886983845776,0.8942648572358678,0.05760957956314089,-0.013665348291397095,0.0,0.02,0.07,0.11
23,5000,0.5,0.5,2,250,ones,1,0.0,2500.0,,0.8942648572358678,0.05760957956314089,-0.008326709270477295,0.0,0.01,0.03,0.08
155,10000,0.5,0.5,2,250,random_uniform,3,0.0,3757.603515625,-0.010864724712712034,0.8890281250858438,0.05804783821105958,-0.01501995325088501,0.02,0.05,0.09,0.13
103,5000,0.5,0.5,2,250,ones,50,0.0,2500.0,,0.8669092076792341,0.05980081319808961,-0.013745039701461792,0.0,0.0,0.05,0.09
135,1000,0.5,0.5,2,250,random_uniform,1,0.0,370.07952880859375,0.050236060632298296,0.8165282563764606,0.06338647365570066,-0.009043842554092407,0.02,0.04,0.07,0.1
182,10000,0.5,0.5,2,250,random_uniform,15,0.0,3752.47265625,-0.0010417215015699013,0.7419726746968436,0.06880475997924804,0.012868523597717285,0.02,0.02,0.07,0.1
49,5000,0.5,0.5,2,250,random_uniform,3,0.0,1881.7203369140625,-0.014017375547023151,0.7361510930651077,0.06908365726470944,0.013426244258880615,0.01,0.02,0.05,0.08
244,1000,0.5,1.0,2,250,random_uniform,1,0.0,373.1263732910156,-0.006523924391080165,0.6920247776016955,0.07123506546020508,0.00011944770812988281,0.0,0.0,0.05,0.1
14,5000,0.5,0.75,2,250,random_uniform,1,0.0,1874.166259765625,0.01104156137528184,0.6415924307114479,0.0737848472595215,0.011593639850616455,0.0,0.03,0.08,0.15
50,5000,0.5,0.5,2,250,ones,3,0.0,2500.0,,0.5699486893684799,0.07760957956314085,-0.02454182505607605,0.03,0.03,0.06,0.16
46,1000,0.5,0.75,2,250,random_uniform,1,0.0,374.6940612792969,0.02810887658873934,0.5353068048231416,0.07956180095672605,-0.02804785966873169,0.0,0.0,0.07,0.14
75,5000,0.5,0.5,2,250,random_uniform,15,0.0,1868.031982421875,0.021363179613846015,0.5325386614364429,0.07972110271453858,0.021354615688323975,0.0,0.02,0.04,0.07
209,10000,0.5,0.5,2,250,ones,50,0.0,5000.0,,0.44558095336163067,0.08501991271972653,0.03752988576889038,0.0,0.0,0.02,0.08
183,10000,0.5,0.5,2,250,ones,15,0.0,5000.0,,0.32661025977611063,0.09354577541351317,0.026255011558532715,0.01,0.01,0.06,0.13
257,1000,0.5,0.5,2,250,ones,15,0.0,500.0,,0.3206913431428701,0.09402391910552976,0.02294820547103882,0.0,0.01,0.05,0.11
282,1000,0.5,0.5,2,250,random_uniform,50,0.0,364.783203125,0.08283374116429668,0.31485133384777714,0.09450200319290158,-0.026693224906921387,0.0,0.01,0.07,0.12
129,10000,0.5,0.5,2,250,random_uniform,1,0.0,3768.934326171875,-0.024329164935407297,0.28054216509561025,0.09745021820068356,0.018725037574768066,0.0,0.0,0.07,0.13
