,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
180,5000,0.0,0.25,2,250,real_TRE_Q,1,0.0,2496.1953125,0.1258078799278255,0.9999516900304636,0.0320717573165894,0.0009561777114868164,0.0,0.0,0.04,0.11
366,5000,0.5,0.25,2,250,real_TRE_Q,50,0.0,2482.934814453125,0.04809402872275853,0.9887864606897248,0.044541888236999505,-0.006494075059890747,0.01,0.01,0.06,0.1
357,5000,0.5,0.5,2,250,real_TRE_Q,50,0.0,2474.314697265625,-0.04077170934082112,0.9874728242218047,0.04498008728027347,0.005497992038726807,0.0,0.0,0.03,0.07
59,1000,0.25,1.0,2,250,NCE_Q,50,0.0,498.6224670410156,0.028439160389700617,0.9872227060026021,0.045059738159179685,-0.002749025821685791,0.0,0.0,0.03,0.09
472,10000,0.25,0.25,2,250,real_TRE_Q,3,0.0,4968.029296875,0.2445058841238618,0.9861860927316378,0.04537846088409424,0.005259037017822266,0.0,0.03,0.06,0.1
197,5000,0.5,0.5,2,250,real_TRE_Q,1,0.0,2489.53662109375,0.13498585435713548,0.9855085076526704,0.04557770729064936,0.0099601149559021,0.0,0.01,0.03,0.09
358,5000,0.5,0.5,2,250,NCE_Q,50,0.0,2495.041259765625,-0.018677779869557327,0.9855085076526702,0.045577707290649416,-0.0039840638637542725,0.0,0.0,0.03,0.11
155,5000,0.25,0.25,2,250,NCE_Q,1,0.0,2495.941162109375,0.10252611245644035,0.9819281717004349,0.04653387546539306,0.004820644855499268,0.0,0.01,0.03,0.1
260,5000,0.0,0.25,2,250,NCE_Q,3,0.0,2493.356689453125,0.08016968505757249,0.9795783674610151,0.04709161043167115,-0.001035928726196289,0.02,0.03,0.05,0.09
329,5000,0.0,0.5,2,250,real_TRE_Q,50,0.0,2470.015625,0.061490233327422296,0.9781454529241962,0.04741039276123049,-0.0001195669174194336,0.0,0.0,0.03,0.09
259,5000,0.0,0.25,2,250,real_TRE_Q,3,0.0,2464.2216796875,0.10605097243473308,0.9732332936703345,0.04840638637542727,-0.007689297199249268,0.01,0.03,0.04,0.07
412,10000,0.0,0.25,2,250,real_TRE_Q,1,0.1,4948.720703125,0.517571599638661,0.9690451709296276,0.04916336774826052,-0.008964180946350098,0.01,0.01,0.04,0.12
147,5000,0.25,0.5,2,250,NCE_Q,1,0.0,2486.05224609375,0.1455077837495529,0.9560705645142682,0.05115535497665405,0.004462063312530518,0.0,0.0,0.06,0.11
198,5000,0.5,0.5,2,250,NCE_Q,1,0.0,2490.541015625,-0.21041760225415054,0.9537257923773759,0.05147413730621342,-0.002270936965942383,0.0,0.0,0.06,0.1
464,10000,0.25,0.5,2,250,NCE_Q,3,0.0,4953.29150390625,0.006465173892581295,0.9491288485186341,0.05207169771194459,-0.0001195073127746582,0.01,0.02,0.08,0.12
517,10000,0.5,0.5,2,250,NCE_Q,3,0.0,4989.208984375,0.10757282745577884,0.9352210263615601,0.05370519638061522,0.009880423545837402,0.0,0.03,0.07,0.1
367,5000,0.5,0.25,2,250,NCE_Q,50,0.0,2488.7294921875,0.03650024345044692,0.9337596103868164,0.05386455774307253,-0.009003996849060059,0.0,0.01,0.04,0.11
146,5000,0.25,0.5,2,250,real_TRE_Q,1,0.0,2484.52880859375,0.5169323126922342,0.9322797566670851,0.05402391910552978,0.010119497776031494,0.0,0.01,0.02,0.07
250,5000,0.0,0.5,2,250,real_TRE_Q,3,0.0,2473.058837890625,0.0001804154262416498,0.9277301106608972,0.05450200319290166,-0.009322702884674072,0.02,0.02,0.06,0.1
562,10000,0.0,1.0,2,250,NCE_Q,50,0.0,4990.8017578125,-0.6065058978298457,0.9214094066840958,0.05513944864273068,-0.01143425703048706,0.0,0.02,0.06,0.12
173,5000,0.0,0.25,2,250,real_TRE_Q,1,0.1,2482.188720703125,0.5998883078530233,0.920192069598725,0.05525898456573486,-0.006175309419631958,0.01,0.02,0.08,0.12
322,5000,0.0,1.0,2,250,NCE_Q,50,0.0,2486.377197265625,-0.3751544279591226,0.9189653045310672,0.05537846088409426,0.0017131567001342773,0.0,0.0,0.05,0.09
201,5000,0.5,0.25,2,250,NCE_Q,1,0.1,2499.38037109375,0.3054624346038138,0.9126797285173107,0.05597608089447026,-0.00254976749420166,0.0,0.01,0.03,0.06
525,10000,0.5,0.25,2,250,real_TRE_Q,3,0.0,4970.49853515625,0.21903270304846514,0.9118233560952167,0.05605573177337647,0.012390375137329102,0.01,0.01,0.05,0.11
286,5000,0.5,0.25,2,250,NCE_Q,3,0.0,2480.672119140625,0.004979829657503497,0.9100962954814122,0.0562151527404785,-0.006812781095504761,0.01,0.02,0.03,0.11
285,5000,0.5,0.25,2,250,real_TRE_Q,3,0.0,2465.400146484375,0.11087274925032471,0.9083525928711842,0.05637451410293581,-0.007290869951248169,0.01,0.03,0.04,0.1
233,5000,0.25,0.25,2,250,real_TRE_Q,3,0.0,2479.103271484375,0.024313412968720784,0.8970691512017823,0.057370567321777366,-0.008326709270477295,0.01,0.03,0.04,0.11
516,10000,0.5,0.5,2,250,real_TRE_Q,3,0.0,4962.7275390625,0.04305494945288161,0.8942655611459955,0.05760951995849606,0.015776872634887695,0.0,0.01,0.07,0.1
181,5000,0.0,0.25,2,250,NCE_Q,1,0.0,2492.6025390625,0.0902280696687556,0.8741444847260125,0.059243018627166744,0.0021514296531677246,0.0,0.0,0.06,0.09
330,5000,0.0,0.5,2,250,NCE_Q,50,0.0,2491.703369140625,-0.007849069375925957,0.8475187205233672,0.061235065460205074,-0.014701277017593384,0.0,0.01,0.03,0.11
481,10000,0.0,1.0,2,250,real_TRE_Q,3,0.0,4967.77294921875,0.19871294660251906,0.8469649366077916,0.06127489089965821,0.012788832187652588,0.0,0.01,0.05,0.12
241,5000,0.0,1.0,2,250,real_TRE_Q,3,0.0,2484.69970703125,-0.372078338649676,0.8345796484643258,0.06215140819549558,-0.008804768323898315,0.0,0.01,0.05,0.08
579,10000,0.0,0.25,2,250,real_TRE_Q,50,0.0,4972.1982421875,0.05867254205151824,0.8259285501651105,0.06274902820587158,0.008565664291381836,0.01,0.03,0.08,0.16
242,5000,0.0,1.0,2,250,NCE_Q,3,0.0,2497.172607421875,-0.5612676197700356,0.8081650592649081,0.06394426822662358,-0.014501988887786865,0.0,0.0,0.06,0.08
5,1000,0.0,1.0,2,250,real_TRE_Q,3,0.0,489.498046875,0.7222664620886279,0.8069608317724599,0.06402391910552979,0.017011940479278564,0.01,0.02,0.06,0.11
526,10000,0.5,0.25,2,250,NCE_Q,3,0.0,4987.34326171875,0.14877349308154073,0.7947848701453206,0.06482066631317138,0.0099601149559021,0.0,0.01,0.06,0.09
436,10000,0.5,0.5,2,250,real_TRE_Q,1,0.0,4945.02734375,0.5889230454914276,0.7830107490227453,0.06557770729064938,0.023625433444976807,0.01,0.02,0.05,0.07
