,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
130,10000,0.5,0.5,2,250,NCE_Q,50,0.0,4995.21142578125,-0.06660431985691255,0.7469810101973801,0.06856568813323977,0.02768927812576294,0.0,0.0,0.04,0.09
157,1000,0.5,0.5,2,250,real_TRE_Q,15,0.0,496.4332275390625,0.01270332438403872,0.7295262050562956,0.06940237998962406,0.01521909236907959,0.0,0.0,0.09,0.12
50,5000,0.5,0.5,2,250,NCE_Q,50,0.0,2494.0048828125,-0.013028675901359003,0.6816128332041264,0.07175303459167481,-0.018047839403152466,0.0,0.0,0.05,0.09
129,10000,0.5,0.5,2,250,real_TRE_Q,50,0.0,4939.61279296875,0.02080590119911647,0.5830054307464094,0.07689242362976079,0.02354586124420166,0.0,0.0,0.03,0.11
49,5000,0.5,0.5,2,250,real_TRE_Q,50,0.0,2476.09228515625,-0.029299971253103754,0.40556561375122463,0.0876892900466919,-0.02278885245323181,0.0,0.02,0.04,0.1
158,1000,0.5,0.5,2,250,NCE_Q,15,0.0,496.5138244628906,0.030815967843881527,0.3963864642965511,0.0883266758918762,0.022390425205230713,0.01,0.01,0.06,0.11
22,5000,0.5,0.5,2,250,real_TRE_Q,15,0.0,2479.2275390625,0.044720238411400305,0.34021314202142416,0.09247013092041018,0.03828686475753784,0.0,0.0,0.03,0.08
23,5000,0.5,0.5,2,250,NCE_Q,15,0.0,2484.34765625,0.0686188020474707,0.2691728546934917,0.09848603725433347,0.03689241409301758,0.0,0.02,0.02,0.07
102,10000,0.5,0.5,2,250,real_TRE_Q,15,0.0,4985.58447265625,0.06949450333459013,0.25524387594710585,0.09980075359344481,0.022828638553619385,0.0,0.02,0.07,0.12
103,10000,0.5,0.5,2,250,NCE_Q,15,0.0,4976.6455078125,-0.017837055720379927,0.12918077865926367,0.11533863544464107,0.019482076168060303,0.0,0.0,0.08,0.1
184,1000,0.5,0.5,2,250,real_TRE_Q,50,0.0,497.30084228515625,-0.09721880645695874,0.050888438074231546,0.1337051963806153,-0.05486056208610535,0.0,0.0,0.05,0.1
185,1000,0.5,0.5,2,250,NCE_Q,50,0.0,496.64208984375,-0.011810320458435948,0.04101133815199951,0.1376095795631409,-0.04645425081253052,0.0,0.01,0.04,0.1
132,1000,0.5,0.5,2,250,NCE_Q,3,0.0,499.6562805175781,-0.002373355592229879,0.0065499025610150745,0.16713149547576905,-0.10625499486923218,0.0,0.01,0.07,0.14
211,5000,0.5,0.5,2,250,NCE_Q,3,0.0,2493.911376953125,0.04973088834866864,0.006408864486589222,0.16745021820068362,-0.09334668517112732,0.02,0.05,0.11,0.17
76,10000,0.5,0.5,2,250,NCE_Q,3,0.0,4987.40673828125,-0.0945054460127849,0.0011241232067215926,0.19119524002075194,-0.10944220423698425,0.02,0.02,0.11,0.2
75,10000,0.5,0.5,2,250,real_TRE_Q,3,0.0,4972.9384765625,0.26767420617236204,0.000411306823594345,0.20362554550170897,-0.13007968664169312,0.02,0.04,0.13,0.22
131,1000,0.5,0.5,2,250,real_TRE_Q,3,0.0,493.2339782714844,-0.015873512844599535,0.0003696423766443649,0.20490043640136724,-0.10593628883361816,0.0,0.01,0.09,0.15
210,5000,0.5,0.5,2,250,real_TRE_Q,3,0.0,2478.3564453125,-0.015125427300925044,0.00010524745338407421,0.21932272911071782,-0.11095619201660156,0.04,0.05,0.12,0.2
68,1000,0.5,0.5,2,250,real_TRE_Q,3,0.1,492.32373046875,0.1649071050052469,1.5554233363843135e-08,0.30103587865829473,-0.19466137886047363,0.0,0.06,0.11,0.2
148,1000,0.5,0.75,2,250,real_TRE_Q,15,0.0,497.26849365234375,0.16290782147807759,1.7697202171064713e-09,0.31776894092559815,-0.20290839672088623,0.03,0.05,0.21,0.35
149,1000,0.5,0.75,2,250,NCE_Q,15,0.0,499.08111572265625,0.05036272234867258,4.5903471362824796e-10,0.3276892900466919,-0.21147412061691284,0.03,0.06,0.18,0.3
79,1000,0.5,0.5,2,250,NCE_Q,3,0.1,498.38299560546875,-0.056577903825483535,1.074280397787055e-10,0.3380080127716064,-0.19697213172912598,0.0,0.03,0.11,0.25
