,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
108,5000,0.5,0.75,2,250,real_weights,3,0.0,3303.903564453125,1.0,0.4492889064652322,0.08478084087371829,0.03529876470565796,0.0,0.01,0.03,0.08
19,10000,0.5,0.75,2,250,real_weights,3,0.0,6495.6376953125,1.0,0.42436054891580854,0.08641433954238886,0.02250993251800537,0.0,0.02,0.03,0.09
86,1000,0.5,0.5,2,250,real_weights,50,0.0,219.09324645996094,1.0,0.3980969295017703,0.08820713996887208,0.009482026100158691,0.01,0.01,0.06,0.11
67,1000,0.5,1.0,2,250,real_weights,1,0.0,604.429443359375,1.0,0.3879110431741448,0.08892429590225215,0.01541823148727417,0.01,0.02,0.09,0.16
111,1000,0.5,0.75,2,250,real_weights,1,0.0,751.1193237304688,1.0,0.3621727717080611,0.09079680681228641,0.04067730903625488,0.0,0.0,0.08,0.13
15,10000,0.5,1.0,2,250,real_weights,3,0.0,7704.939453125,1.0,0.32760387520966044,0.09346612453460695,-0.020876526832580566,0.03,0.04,0.09,0.15
69,1000,0.5,0.75,2,250,real_weights,15,0.0,580.5677490234375,1.0,0.2877142378888,0.09681277275085454,0.026374459266662598,0.01,0.05,0.1,0.14
13,1000,0.5,0.5,2,250,real_weights,1,0.0,598.9421997070312,1.0,0.18542950729492305,0.10737050771713252,0.04697209596633911,0.01,0.01,0.05,0.08
51,1000,0.5,1.0,2,250,real_weights,3,0.0,731.4713745117188,1.0,0.09896826108707574,0.12087651729583743,-0.03828686475753784,0.01,0.03,0.11,0.17
64,1000,0.5,1.0,2,250,real_weights,15,0.0,546.6392822265625,0.9999999999999999,0.09273242711118593,0.12219123363494874,-0.035617560148239136,0.05,0.07,0.17,0.2
73,1000,0.5,0.5,2,250,real_weights,15,0.0,267.5163879394531,0.9999999999999999,0.060795768935646435,0.13039837360382078,0.04896414279937744,0.01,0.01,0.04,0.07
37,10000,0.5,0.5,2,250,real_weights,15,0.0,2366.251220703125,1.0,0.04861450653473184,0.13454182863235475,0.029681265354156494,0.03,0.05,0.11,0.18
126,5000,0.5,0.5,2,250,real_weights,15,0.0,1127.064453125,1.0,0.048402508269214294,0.1346215391159058,0.02159363031387329,0.03,0.05,0.14,0.18
28,10000,0.5,1.0,2,250,real_weights,15,0.0,2493.467529296875,1.0,0.03808353962252801,0.1389242959022522,0.008924245834350586,0.03,0.04,0.15,0.21
23,10000,0.5,0.5,2,250,real_weights,3,0.0,2729.763427734375,1.0,0.03129403452160438,0.142350594997406,0.07980072498321533,0.0,0.0,0.04,0.1
139,5000,0.5,0.5,2,250,real_weights,50,0.0,924.605712890625,1.0,0.030862766514819662,0.14258960723876957,0.04693228006362915,0.03,0.05,0.09,0.13
135,5000,0.5,0.75,2,250,real_weights,50,0.0,608.2737426757812,1.0,0.02792145943268646,0.14430281639099118,0.01589643955230713,0.06,0.07,0.14,0.19
130,5000,0.5,1.0,2,250,real_weights,50,0.0,485.81280517578125,1.0,0.027921459432686414,0.1443028163909912,-0.03266936540603638,0.04,0.09,0.18,0.22
32,10000,0.5,0.75,2,250,real_weights,15,0.0,5060.4482421875,1.0,0.01926670894550989,0.15047808408737184,0.026932239532470703,0.03,0.09,0.14,0.19
91,5000,0.5,1.0,2,250,real_weights,1,0.0,3444.587646484375,0.9999999999999999,0.018708923908431215,0.15095616817474367,0.06270915269851685,0.01,0.02,0.08,0.15
117,5000,0.5,1.0,2,250,real_weights,15,0.0,2364.655029296875,1.0,0.005171859860781704,0.17055779457092285,-0.014661401510238647,0.03,0.1,0.18,0.26
55,1000,0.5,0.75,2,250,real_weights,3,0.0,669.6183471679688,0.9999999999999999,0.004312264357599647,0.17314740180969235,0.08653384447097778,0.01,0.01,0.04,0.05
113,5000,0.5,0.5,2,250,real_weights,3,0.0,1388.1851806640625,1.0,0.0035244550621704508,0.1759760808944702,0.10183268785476685,0.0,0.0,0.03,0.05
143,10000,0.5,1.0,2,250,real_weights,1,0.0,6063.9521484375,0.9999999999999999,0.0033759548884961525,0.17657370090484614,0.05852586030960083,0.01,0.03,0.06,0.08
121,5000,0.5,0.75,2,250,real_weights,15,0.0,2395.657470703125,1.0,0.0013747743586266458,0.18860557317733762,0.029322683811187744,0.03,0.06,0.12,0.19
