,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
19,1000,0.5,0.75,2,250,real_weights,15,0.0,674.9569702148438,0.9999999999999999,0.7978495239747144,0.06462153911590574,0.009083688259124756,0.0,0.0,0.04,0.09
63,5000,0.5,0.5,2,250,real_weights,15,0.0,1354.3995361328125,1.0,0.4580186376207532,0.0842231059074402,0.0206373929977417,0.0,0.0,0.05,0.14
46,5000,0.5,0.75,2,250,real_weights,3,0.0,3303.903564453125,1.0,0.4492889064652322,0.08478084087371829,0.03529876470565796,0.0,0.01,0.03,0.08
85,10000,0.5,0.75,2,250,real_weights,3,0.0,6495.6376953125,1.0,0.42436054891580854,0.08641433954238886,0.02250993251800537,0.0,0.02,0.03,0.09
81,10000,0.5,1.0,2,250,real_weights,3,0.0,7704.939453125,1.0,0.32760387520966044,0.09346612453460695,-0.020876526832580566,0.03,0.04,0.09,0.15
55,5000,0.5,1.0,2,250,real_weights,15,0.0,3830.31298828125,1.0,0.19264735249224316,0.10649405002593995,-0.012589633464813232,0.02,0.05,0.12,0.2
33,1000,0.5,0.75,2,250,real_weights,50,0.0,511.68353271484375,1.0,0.15752777518116595,0.11103587865829467,-0.0027888119220733643,0.01,0.01,0.09,0.15
31,1000,0.5,1.0,2,250,real_weights,3,0.0,731.4713745117188,1.0,0.09896826108707574,0.12087651729583743,-0.03828686475753784,0.01,0.03,0.11,0.17
77,5000,0.5,0.5,2,250,real_weights,50,0.0,1286.735107421875,1.0,0.09291638416245333,0.12215140819549558,0.061394453048706055,0.01,0.03,0.06,0.09
59,5000,0.5,0.75,2,250,real_weights,15,0.0,3223.439697265625,1.0,0.08240155253411907,0.12454182863235475,0.02294820547103882,0.01,0.02,0.06,0.12
10,10000,0.5,0.5,2,250,real_weights,50,0.0,2499.543701171875,1.0,0.07245718930137858,0.12705178499221803,0.03593629598617554,0.02,0.03,0.1,0.15
72,5000,0.5,0.75,2,250,real_weights,50,0.0,2729.433837890625,1.0,0.053830474140018424,0.1326693177223206,0.026334702968597412,0.01,0.04,0.08,0.19
24,1000,0.5,0.5,2,250,real_weights,15,0.0,280.8429260253906,0.9999999999999999,0.04492021026887549,0.13597608089447022,0.06756973266601562,0.0,0.0,0.03,0.06
94,10000,0.5,1.0,2,250,real_weights,15,0.0,7368.15087890625,1.0,0.04326198400538662,0.13665335178375249,0.0070119500160217285,0.03,0.05,0.16,0.2
99,10000,0.5,0.75,2,250,real_weights,15,0.0,6519.11767578125,1.0,0.03842843669349112,0.13876493453979488,0.03310757875442505,0.01,0.01,0.1,0.16
103,10000,0.5,0.5,2,250,real_weights,15,0.0,2731.577392578125,1.0,0.03470104826475386,0.14055779457092288,0.03490036725997925,0.02,0.02,0.07,0.14
90,10000,0.5,0.5,2,250,real_weights,3,0.0,2729.763427734375,1.0,0.03129403452160438,0.142350594997406,0.07980072498321533,0.0,0.0,0.04,0.1
15,1000,0.5,1.0,2,250,real_weights,15,0.0,843.0722045898438,1.0,0.027531298701986482,0.14454188823699954,-0.04258963465690613,0.03,0.06,0.13,0.19
68,5000,0.5,1.0,2,250,real_weights,50,0.0,2971.553955078125,1.0,0.019646675284318384,0.15015942096710205,-0.02733069658279419,0.06,0.08,0.19,0.2
75,1000,0.5,0.75,2,250,real_weights,3,0.0,669.6183471679688,0.9999999999999999,0.004312264357599647,0.17314740180969235,0.08653384447097778,0.01,0.01,0.04,0.05
50,5000,0.5,0.5,2,250,real_weights,3,0.0,1388.1851806640625,1.0,0.0035244550621704508,0.1759760808944702,0.10183268785476685,0.0,0.0,0.03,0.05
37,1000,0.5,0.5,2,250,real_weights,50,0.0,219.64810180664062,0.9999999999999999,0.0028626427268588126,0.17884458541870119,0.10892438888549805,0.0,0.0,0.06,0.09
6,10000,0.5,0.75,2,250,real_weights,50,0.0,5406.56982421875,1.0,0.0023516562005514,0.1815139627456665,0.0680079460144043,0.0,0.04,0.1,0.13
41,5000,0.5,1.0,2,250,real_weights,3,0.0,4008.005859375,1.0,0.0005234379031879692,0.20071715593338013,-0.050039857625961304,0.05,0.07,0.19,0.25
107,10000,0.5,1.0,2,250,real_weights,50,0.0,5704.107421875,0.9999999999999999,0.00044246918667022216,0.2027490282058716,0.0679282546043396,0.02,0.04,0.1,0.16
28,1000,0.5,1.0,2,250,real_weights,50,0.0,579.545166015625,1.0,3.6917583034776714e-05,0.23063744544982911,-0.10665339231491089,0.01,0.05,0.18,0.27
11,1000,0.5,0.5,2,250,real_weights,3,0.0,286.2667541503906,0.9999999999999999,2.5807931754244053e-06,0.25705178499221804,0.14992034435272217,0.0,0.0,0.01,0.02
86,1000,0.5,0.5,2,250,real_weights,3,0.1,286.2667541503906,0.9999999999999999,7.723549047239461e-22,0.4813546013832092,-0.29605579376220703,0.05,0.14,0.33,0.45
42,1000,0.5,0.75,2,250,real_weights,3,0.1,669.6183471679688,0.9999999999999999,1.1231731317417644e-87,0.8662549781799317,-0.4768924433737993,0.58,0.75,0.9,0.95
0,1000,0.5,1.0,2,250,real_weights,3,0.1,731.4713745117188,1.0,3.399247910434897e-109,0.9182869100570679,-0.4917529905214906,0.89,0.9,0.95,0.99
47,5000,0.5,0.5,2,250,real_weights,3,0.1,1388.1851806640625,1.0,2.5381032007957583e-111,0.9221912336349487,-0.4941035914234817,0.77,0.86,0.97,0.99
96,10000,0.5,0.75,2,250,real_weights,15,0.25,6519.11767578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
92,10000,0.5,1.0,2,250,real_weights,15,0.25,7368.15087890625,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
102,10000,0.5,0.5,2,250,real_weights,15,0.5,2731.577392578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
101,10000,0.5,0.5,2,250,real_weights,15,0.25,2731.577392578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
100,10000,0.5,0.5,2,250,real_weights,15,0.1,2731.577392578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
98,10000,0.5,0.75,2,250,real_weights,15,0.5,6519.11767578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
97,1000,0.5,0.5,2,250,real_weights,3,0.25,286.2667541503906,0.9999999999999999,2.0000000000001775e-200,0.99,-0.4998804783826927,0.99,0.99,1.0,1.0
91,10000,0.5,1.0,2,250,real_weights,15,0.1,7368.15087890625,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
95,10000,0.5,0.75,2,250,real_weights,15,0.1,6519.11767578125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
93,10000,0.5,1.0,2,250,real_weights,15,0.5,7368.15087890625,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
87,10000,0.5,0.5,2,250,real_weights,3,0.1,2729.763427734375,1.0,2.7310763292363086e-210,0.9920319318771362,-0.4999203193219728,0.99,1.0,1.0,1.0
9,10000,0.5,0.5,2,250,real_weights,50,0.5,2499.543701171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
80,10000,0.5,1.0,2,250,real_weights,3,0.5,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
79,10000,0.5,1.0,2,250,real_weights,3,0.25,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
78,10000,0.5,1.0,2,250,real_weights,3,0.1,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
30,1000,0.5,0.75,2,250,real_weights,50,0.25,511.68353271484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
12,1000,0.5,1.0,2,250,real_weights,15,0.1,843.0722045898438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
83,10000,0.5,0.75,2,250,real_weights,3,0.25,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
