,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
81,5000,0.0,1.0,2,250,real_weights,50,0.0,4991.33154296875,1.0,0.9952406981098659,0.04155378818511968,-0.0035457611083984375,0.01,0.01,0.07,0.11
41,5000,0.25,1.0,2,250,real_weights,50,0.0,4949.720703125,1.0,0.9415677856316459,0.05298810005187987,-0.009681284427642822,0.0,0.0,0.06,0.13
218,10000,0.5,0.5,2,250,real_weights,1,0.0,6516.33935546875,1.0,0.8904684963958338,0.057928302288055455,-0.01760956645011902,0.0,0.0,0.08,0.11
174,10000,0.0,1.0,2,250,real_weights,1,0.0,9998.3330078125,1.0,0.8831792485370598,0.05852586269378657,0.00474095344543457,0.01,0.03,0.06,0.09
121,5000,0.5,1.0,2,250,real_weights,50,0.0,4834.36572265625,0.9999999999999999,0.8235947681979484,0.06290838956832884,-0.013426333665847778,0.0,0.01,0.04,0.14
161,10000,0.25,1.0,2,250,real_weights,50,0.0,9909.76953125,1.0,0.7850559240644522,0.06677294731140138,-0.021115541458129883,0.0,0.02,0.05,0.08
222,10000,0.5,0.25,2,250,real_weights,1,0.0,3480.31884765625,1.0,0.7748154545535214,0.06725097179412842,0.005697190761566162,0.0,0.0,0.03,0.06
241,10000,0.5,1.0,2,250,real_weights,50,0.0,9664.580078125,1.0,0.7428058278352849,0.06876493453979493,-0.0060558021068573,0.01,0.03,0.05,0.13
19,5000,0.25,0.5,2,250,real_weights,1,0.0,3293.74658203125,0.9999999999999999,0.704952591212446,0.07059762001037595,0.012629449367523193,0.0,0.01,0.05,0.08
15,5000,0.25,1.0,2,250,real_weights,1,0.0,4919.904296875,1.0,0.6744547785531162,0.07211158275604246,0.005418300628662109,0.02,0.04,0.04,0.1
205,10000,0.0,0.5,2,250,real_weights,50,0.0,2910.804931640625,1.0,0.6571290615284686,0.07298804044723506,0.02573704719543457,0.0,0.02,0.06,0.12
59,5000,0.0,0.5,2,250,real_weights,1,0.0,3310.241455078125,0.9999999999999999,0.6563476409458108,0.07302786588668822,0.0053784847259521484,0.0,0.0,0.06,0.09
223,1000,0.25,1.0,2,250,real_weights,1,0.0,985.123779296875,1.0,0.6331352316527408,0.07422310590744019,0.023625493049621582,0.0,0.01,0.07,0.13
284,1000,0.0,1.0,2,250,real_weights,50,0.0,997.2410278320312,0.9999999999999999,0.5535233873332998,0.07852592229843139,-0.019601643085479736,0.01,0.03,0.08,0.15
165,10000,0.25,0.5,2,250,real_weights,50,0.0,2914.345458984375,0.9999999999999999,0.5380859210105242,0.07940237998962407,0.027808785438537598,0.0,0.02,0.06,0.12
200,10000,0.0,1.0,2,250,real_weights,50,0.0,9990.7724609375,1.0,0.5161109868101238,0.08067727088928223,-0.009601622819900513,0.02,0.03,0.04,0.1
94,5000,0.5,1.0,2,250,real_weights,1,0.0,4666.19921875,1.0,0.4624256379307717,0.08394420862197877,0.025697171688079834,0.01,0.03,0.05,0.12
183,10000,0.0,0.25,2,250,real_weights,1,0.0,3481.222412109375,1.0,0.44128112292717686,0.08529881000518799,-0.004262953996658325,0.0,0.0,0.02,0.05
107,5000,0.5,1.0,2,250,real_weights,3,0.0,4927.095703125,1.0,0.4406693915314166,0.0853386354446411,-0.02394425868988037,0.0,0.01,0.07,0.14
98,5000,0.5,0.5,2,250,real_weights,1,0.0,3266.05322265625,1.0,0.3941140195450206,0.08848603725433352,0.024621546268463135,0.0,0.01,0.06,0.1
187,10000,0.0,1.0,2,250,real_weights,3,0.0,9994.8525390625,1.0,0.31340332287251227,0.09462153911590576,-0.042709171772003174,0.02,0.02,0.09,0.16
262,1000,0.0,0.5,2,250,real_weights,1,0.0,661.03515625,1.0,0.29364133728345937,0.09629480361938475,0.038924336433410645,0.0,0.0,0.03,0.07
148,10000,0.25,1.0,2,250,real_weights,3,0.0,9960.2158203125,1.0,0.27700638706647246,0.09776894092559818,-0.04239046573638916,0.02,0.03,0.11,0.15
310,1000,0.5,1.0,2,250,real_weights,3,0.0,983.1746826171875,1.0,0.26874207332518313,0.0985259222984314,-0.037768930196762085,0.0,0.02,0.08,0.17
232,10000,0.5,0.5,2,250,real_weights,3,0.0,2874.07958984375,1.0,0.267026033810243,0.09868528366088869,0.0484461784362793,0.0,0.0,0.04,0.06
143,10000,0.25,0.25,2,250,real_weights,1,0.0,3496.264404296875,1.0,0.2665984708105513,0.09872510910034182,-0.004103571176528931,0.0,0.0,0.02,0.04
257,1000,0.0,1.0,2,250,real_weights,1,0.0,999.4735717773438,0.9999999999999999,0.26150645556780355,0.09920313358306884,0.022071659564971924,0.0,0.01,0.04,0.06
192,10000,0.0,0.5,2,250,real_weights,3,0.0,2879.00244140625,0.9999999999999999,0.2466672875096845,0.10063744544982911,0.04175299406051636,0.01,0.02,0.03,0.06
152,10000,0.25,0.5,2,250,real_weights,3,0.0,2873.53173828125,0.9999999999999999,0.2454606541592246,0.10075692176818848,0.056294798851013184,0.0,0.01,0.04,0.06
57,1000,0.25,1.0,2,250,real_weights,3,0.0,994.4510498046875,1.0,0.2229962832318678,0.10306775093078613,-0.04820719361305237,0.01,0.03,0.05,0.16
291,1000,0.25,0.5,2,250,real_weights,1,0.0,659.923828125,1.0,0.21781920502241792,0.10362548589706422,0.04482072591781616,0.0,0.01,0.06,0.09
228,10000,0.5,1.0,2,250,real_weights,3,0.0,9847.673828125,0.9999999999999999,0.21345584117232125,0.10410356998443604,-0.013944268226623535,0.0,0.02,0.12,0.15
28,5000,0.25,1.0,2,250,real_weights,3,0.0,4980.13330078125,1.0,0.17779967040846067,0.10832673549652094,-0.0640239417552948,0.0,0.01,0.07,0.14
54,5000,0.0,1.0,2,250,real_weights,1,0.0,4999.9345703125,1.0,0.1713299259383474,0.10916336774826052,-0.025936275720596313,0.0,0.01,0.06,0.12
139,10000,0.25,0.5,2,250,real_weights,1,0.0,6563.5888671875,1.0,0.1459614648014934,0.11270920276641849,-0.0349402129650116,0.0,0.0,0.03,0.11
245,10000,0.5,0.5,2,250,real_weights,50,0.0,2913.726318359375,1.0,0.12918077865926367,0.11533863544464107,0.03326690196990967,0.0,0.02,0.05,0.1
297,1000,0.5,1.0,2,250,real_weights,1,0.0,942.7647094726562,0.9999999999999999,0.12725820286760847,0.11565735816955569,-0.025896459817886353,0.01,0.01,0.08,0.1
63,5000,0.0,0.25,2,250,real_weights,1,0.0,1782.1370849609375,1.0,0.1107731320056121,0.11856568813323975,0.03920316696166992,0.0,0.01,0.03,0.07
190,1000,0.25,1.0,2,250,real_weights,50,0.0,986.1408081054688,1.0,0.10971146042334683,0.11876493453979492,-0.026374518871307373,0.0,0.03,0.1,0.18
323,1000,0.5,1.0,2,250,real_weights,50,0.0,954.6904296875,1.0,0.1092890889919088,0.11884464502334596,-0.03219124674797058,0.0,0.03,0.08,0.15
45,5000,0.25,0.5,2,250,real_weights,50,0.0,1463.8419189453125,1.0,0.06780847104839792,0.12832667589187624,0.06577688455581665,0.0,0.01,0.04,0.06
67,5000,0.0,1.0,2,250,real_weights,3,0.0,4995.6142578125,1.0,0.059268366412103944,0.13087651729583738,-0.06645417213439941,0.0,0.01,0.1,0.18
271,1000,0.0,1.0,2,250,real_weights,3,0.0,997.9935913085938,1.0,0.05268199531434918,0.13306775093078616,-0.050000011920928955,0.0,0.03,0.09,0.13
85,5000,0.0,0.5,2,250,real_weights,50,0.0,1464.8770751953125,0.9999999999999999,0.04492021026887549,0.13597608089447022,0.06912350654602051,0.0,0.01,0.04,0.05
72,5000,0.0,0.5,2,250,real_weights,3,0.0,1448.7056884765625,1.0,0.03956832671163718,0.1382469654083252,0.0818326473236084,0.0,0.01,0.02,0.07
178,10000,0.0,0.5,2,250,real_weights,1,0.0,6575.77880859375,1.0,0.039214393531147015,0.13840638637542724,-0.04936257004737854,0.0,0.0,0.06,0.1
13,1000,0.25,0.25,2,250,real_weights,1,0.0,351.6288146972656,0.9999999999999999,0.03757131966757806,0.13916330814361577,0.07223105430603027,0.0,0.0,0.01,0.04
126,5000,0.5,0.5,2,250,real_weights,50,0.0,1463.9066162109375,1.0,0.03542022264933213,0.1401991868019104,0.07119524478912354,0.01,0.01,0.03,0.06
23,5000,0.25,0.25,2,250,real_weights,1,0.0,1778.36279296875,0.9999999999999999,0.03462197356071832,0.14059762001037598,0.04741036891937256,0.0,0.0,0.04,0.06
301,1000,0.5,0.5,2,250,real_weights,1,0.0,653.6976318359375,1.0,0.03330116930691301,0.14127489089965817,0.050039827823638916,0.0,0.01,0.04,0.05
266,1000,0.0,0.25,2,250,real_weights,1,0.0,351.9154968261719,1.0,0.029738006374693725,0.1432270526885986,0.06976091861724854,0.0,0.01,0.01,0.04
214,10000,0.5,1.0,2,250,real_weights,1,0.0,9369.529296875,1.0,0.017376901800479842,0.1521514081954956,0.0634661316871643,0.01,0.02,0.05,0.1
306,1000,0.5,0.25,2,250,real_weights,1,0.0,347.9728698730469,1.0,0.016743192652653206,0.15274902820587155,0.0841832160949707,0.0,0.0,0.01,0.03
103,5000,0.5,0.25,2,250,real_weights,1,0.0,1765.13427734375,1.0,0.010570950665946809,0.1599601745605469,0.063545823097229,0.0,0.0,0.05,0.08
111,5000,0.5,0.5,2,250,real_weights,3,0.0,1448.1083984375,1.0,0.00910514563841531,0.16223105907440183,0.0917927622795105,0.0,0.01,0.03,0.07
32,5000,0.25,0.5,2,250,real_weights,3,0.0,1445.1295166015625,0.9999999999999999,0.0046002081585191906,0.17223105907440184,0.08597612380981445,0.0,0.0,0.02,0.07
263,1000,0.0,0.25,2,250,real_weights,1,0.1,351.9154968261719,1.0,0.0009762872210994182,0.19298810005187989,-0.10195225477218628,0.01,0.01,0.09,0.17
134,10000,0.25,1.0,2,250,real_weights,1,0.0,9852.4990234375,1.0,0.0009224026395645502,0.19370519638061523,0.07235056161880493,0.02,0.03,0.05,0.12
101,1000,0.25,0.5,2,250,real_weights,3,0.0,296.4816589355469,1.0,0.00025911114522347655,0.20908365726470945,0.13992029428482056,0.0,0.0,0.0,0.0
209,10000,0.0,0.25,2,250,real_weights,50,0.0,426.9084777832031,1.0,0.00024029692549946277,0.20996017456054689,0.12996011972427368,0.0,0.0,0.01,0.04
275,1000,0.0,0.5,2,250,real_weights,3,0.0,297.6303405761719,1.0,0.00021153014471762976,0.21143425226211549,0.13828688859939575,0.0,0.0,0.0,0.0
170,10000,0.25,0.25,2,250,real_weights,50,0.0,428.682373046875,1.0,0.00015236387632411606,0.21517927408218385,0.13015931844711304,0.0,0.0,0.02,0.05
235,1000,0.25,0.5,2,250,real_weights,50,0.0,298.2305603027344,1.0,8.882971276057849e-05,0.22119524002075197,0.12521910667419434,0.0,0.0,0.04,0.06
315,1000,0.5,0.5,2,250,real_weights,3,0.0,296.7377014160156,1.0,8.69180864812179e-05,0.2214342522621155,0.1446613073348999,0.0,0.0,0.0,0.01
250,10000,0.5,0.25,2,250,real_weights,50,0.0,430.2525634765625,1.0,7.008526540463705e-05,0.22378484725952147,0.134382426738739,0.0,0.0,0.01,0.03
302,1000,0.25,0.25,2,250,real_weights,1,0.1,351.6288146972656,0.9999999999999999,2.4431507623715876e-05,0.23494026184082029,-0.14509961009025574,0.01,0.02,0.12,0.24
196,10000,0.0,0.25,2,250,real_weights,3,0.0,417.1308288574219,1.0,1.554280689649123e-05,0.2395617413520813,0.14653390645980835,0.0,0.02,0.02,0.04
6,1000,0.5,0.5,2,250,real_weights,50,0.0,296.0177917480469,1.0,1.028054593259643e-05,0.24370519638061522,0.13310754299163818,0.0,0.01,0.03,0.08
237,10000,0.5,0.25,2,250,real_weights,3,0.0,414.8285827636719,0.9999999999999998,8.858766078196829e-06,0.24517927408218382,0.15071707963943481,0.0,0.01,0.02,0.03
288,1000,0.0,0.5,2,250,real_weights,50,0.0,297.20269775390625,1.0,8.43955978749247e-06,0.24565735816955564,0.11872506141662598,0.0,0.0,0.03,0.07
156,10000,0.25,0.25,2,250,real_weights,3,0.0,414.970458984375,0.9999999999999998,5.848476687441414e-06,0.24924301862716675,0.1523107886314392,0.01,0.01,0.02,0.03
303,1000,0.5,0.25,2,250,real_weights,1,0.1,347.9728698730469,1.0,2.6838859417363706e-07,0.2774502182006836,-0.18641436100006104,0.01,0.04,0.16,0.28
317,1000,0.5,0.25,2,250,real_weights,3,0.25,33.15658950805664,1.0,1.7695062714826838e-10,0.3345020031929016,-0.08458173274993896,0.0,0.0,0.0,0.01
124,1000,0.25,0.25,2,250,real_weights,3,0.25,32.36924743652344,0.9999999999999999,9.72849185402228e-12,0.3543426418304443,-0.09119522571563721,0.0,0.0,0.01,0.01
259,1000,0.0,0.5,2,250,real_weights,1,0.1,661.03515625,1.0,8.996348936545677e-12,0.354860610961914,-0.2342231273651123,0.04,0.1,0.26,0.39
