,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
24,5000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,2004.71533203125,0.9999999999999934,0.9204923771671207,0.05522958755493168,-0.013932108879089355,0.01,0.01,0.03,0.07,0.15
34,1000,0.75,1.0,2,250,rulsif,1,0.0,0.140625,False,466.54754638671875,0.22572447547423918,0.9093070464074406,0.05628747940063478,-0.015568852424621582,0.0,0.02,0.02,0.07,0.13
57,10000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,4241.05419921875,0.999999999999992,0.3927375012879163,0.08858287811279297,-0.029141724109649658,0.0,0.0,0.03,0.04,0.11
45,1000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,445.2758483886719,0.9999999999998206,0.3882228001155868,0.08890215396881107,-0.03576850891113281,0.0,0.01,0.02,0.07,0.11
29,5000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,2004.71533203125,0.9999999999999934,0.26555649977725915,0.09882236480712892,-0.0271855890750885,0.03,0.03,0.03,0.05,0.08
0,1000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,445.2758483886719,0.9999999999998206,0.111968264440123,0.11834327220916746,-0.0636327862739563,0.0,0.0,0.02,0.09,0.19
2,1000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,445.2758483886719,0.9999999999998206,0.017179604485767105,0.15233535289764405,-0.06622752547264099,0.0,0.03,0.09,0.11,0.17
62,10000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,4241.05419921875,0.999999999999992,0.013362782557403865,0.15632731437683106,-0.08415171504020691,0.02,0.02,0.06,0.13,0.2
89,1000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,431.7257995605469,0.3267986373841474,0.0005081199285332107,0.20107780933380126,-0.13057884573936462,0.02,0.05,0.09,0.15,0.24
7,1000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,445.2758483886719,0.9999999999998206,6.725809499254928e-05,0.22423156738281252,-0.11429142951965332,0.05,0.08,0.12,0.19,0.32
23,1000,0.75,1.0,2,250,random_uniform,1,0.0,0.140625,False,374.3384704589844,-0.08014382616427891,6.053077187886609e-09,0.3084231805801392,-0.15045905113220215,0.02,0.06,0.13,0.21,0.31
35,5000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,2004.71533203125,0.9999999999999934,7.305130573806967e-10,0.3243113565444946,-0.18195608258247375,0.05,0.09,0.14,0.21,0.36
13,1000,0.75,1.0,2,250,real_weights,1,0.04,0.140625,False,445.2758483886719,0.9999999999998206,9.780700140326191e-11,0.33866266727447514,-0.1994810402393341,0.1,0.15,0.25,0.3,0.39
12,1000,0.75,1.0,2,250,NCE_Q,1,0.0,0.140625,False,416.5335693359375,0.058471945080024484,2.8321238774158832e-12,0.3624151420593261,-0.20762473344802856,0.06,0.12,0.2,0.28,0.35
6,1000,0.75,1.0,2,250,rulsif,1,0.02,0.140625,False,440.9754333496094,0.21844349707680022,1.4105663777483004e-12,0.36688619613647466,-0.2367265522480011,0.04,0.16,0.2,0.25,0.38
