,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
24,5000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,2004.71533203125,0.9999999999999934,0.6739747353932674,0.07213570117950441,-0.012774437665939331,0.01,0.01,0.04,0.1,0.15
57,10000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,4241.05419921875,0.999999999999992,0.628378479677128,0.07447105407714844,-0.02914169430732727,0.0,0.01,0.03,0.06,0.15
45,1000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,445.2758483886719,0.9999999999998206,0.4179269019656628,0.08684636116027833,-0.03305390477180481,0.0,0.02,0.03,0.05,0.1
34,1000,0.75,1.0,2,250,rulsif,1,0.0,0.140625,False,456.4979553222656,0.3351826472237748,0.29326668805202977,0.09632731437683106,-0.029341310262680054,0.0,0.03,0.06,0.09,0.19
29,5000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,2004.71533203125,0.9999999999999934,0.1900501360974045,0.10680640697479249,-0.03628745675086975,0.02,0.03,0.03,0.06,0.11
0,1000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,445.2758483886719,0.9999999999998206,0.08320116770024087,0.12435131072998046,-0.05405190587043762,0.0,0.01,0.03,0.04,0.21
62,10000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,4241.05419921875,0.999999999999992,0.01955058456073875,0.15023948669433596,-0.08039921522140503,0.02,0.02,0.08,0.13,0.24
2,1000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,445.2758483886719,0.9999999999998206,0.01329485311209673,0.15640722274780272,-0.06371253728866577,0.01,0.06,0.08,0.11,0.19
89,1000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,462.358154296875,0.2460726803831347,0.00023056805591443468,0.21043913841247558,-0.1262274980545044,0.0,0.04,0.1,0.14,0.23
7,1000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,445.2758483886719,0.9999999999998206,0.00019626218128873416,0.2122953987121582,-0.11808383464813232,0.02,0.07,0.13,0.18,0.29
13,1000,0.75,1.0,2,250,real_weights,1,0.04,0.140625,False,445.2758483886719,0.9999999999998206,5.243161769518462e-10,0.32672649860382075,-0.19425150752067566,0.09,0.14,0.25,0.29,0.36
23,1000,0.75,1.0,2,250,random_uniform,1,0.0,0.140625,False,374.648681640625,-0.029071070166134097,7.795853013509365e-11,0.34023948669433596,-0.2092614769935608,0.03,0.12,0.18,0.25,0.42
35,5000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,2004.71533203125,0.9999999999999934,4.0716949152690994e-11,0.34471054077148433,-0.1751297116279602,0.05,0.09,0.13,0.21,0.37
1,1000,0.75,1.0,2,250,real_TRE_Q,1,0.0,0.140625,False,464.70599365234375,-0.1470949222225975,1.269387965868248e-11,0.35257483959198,-0.22702592611312866,0.07,0.13,0.19,0.26,0.42
12,1000,0.75,1.0,2,250,NCE_Q,1,0.0,0.140625,False,469.825927734375,0.12643371886241442,2.0837020100969927e-12,0.36439126491546636,-0.2385229468345642,0.03,0.1,0.21,0.34,0.4
6,1000,0.75,1.0,2,250,rulsif,1,0.02,0.140625,False,452.3740539550781,0.19967709097816577,1.4880694744795593e-14,0.39467070579528807,-0.23548901081085205,0.04,0.12,0.18,0.25,0.4
78,1000,0.75,1.0,2,250,random_uniform,1,0.01,0.140625,False,377.2610168457031,0.04153570941484975,7.47512782668828e-18,0.43652696609497066,-0.2655489146709442,0.1,0.21,0.33,0.36,0.45
28,5000,0.75,1.0,2,250,rulsif,1,0.0,0.140625,False,2193.064208984375,0.1658434904205464,2.329567783937375e-18,0.4425348854064941,-0.26738521456718445,0.1,0.14,0.21,0.31,0.5
68,10000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,4241.05419921875,0.999999999999992,5.3574949282666125e-21,0.47233535289764406,-0.2887424826622009,0.17,0.25,0.33,0.43,0.56
18,1000,0.75,1.0,2,250,real_weights,1,0.05,0.140625,False,445.2758483886719,0.9999999999998206,4.0164836996613724e-22,0.4843513107299805,-0.2958483099937439,0.14,0.23,0.33,0.39,0.53
67,1000,0.75,1.0,2,250,NCE_Q,1,0.01,0.140625,False,469.192138671875,0.2472803131763152,1.8020381969374398e-24,0.5082634830474854,-0.3213173747062683,0.19,0.29,0.4,0.48,0.58
56,1000,0.75,1.0,2,250,real_TRE_Q,1,0.01,0.140625,False,425.4872131347656,0.22268734820596492,3.290070903756845e-27,0.5343912649154663,-0.3099002093076706,0.14,0.27,0.4,0.47,0.57
11,1000,0.75,1.0,2,250,rulsif,1,0.03,0.140625,False,446.59814453125,0.247189989980701,1.5328899660710185e-28,0.5464870119094849,-0.32271453738212585,0.12,0.25,0.31,0.44,0.54
61,10000,0.75,1.0,2,250,rulsif,1,0.0,0.140625,False,4593.681640625,0.23152803799648036,2.4859232053648936e-30,0.5621756553649903,-0.3500598669052124,0.24,0.33,0.47,0.58,0.65
40,5000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,2004.71533203125,0.9999999999999934,3.0312442040310216e-35,0.6022554445266723,-0.36910179257392883,0.17,0.32,0.5,0.57,0.68
5,1000,0.75,1.0,2,250,random_uniform,1,0.02,0.140625,False,374.7548522949219,0.037586753496573706,7.394517983476105e-42,0.6503592300415039,-0.3775249496102333,0.16,0.35,0.47,0.61,0.71
33,5000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,2150.961669921875,0.14543607214361054,3.1107368430640696e-44,0.666247525215149,-0.400319367647171,0.31,0.51,0.6,0.65,0.74
17,1000,0.75,1.0,2,250,rulsif,1,0.04,0.140625,False,444.24517822265625,0.2509239813618233,9.808910478522661e-52,0.7122554445266723,-0.3962475135922432,0.21,0.39,0.54,0.67,0.78
4,1000,0.75,1.0,2,250,NCE_Q,1,0.02,0.140625,False,444.32403564453125,0.026064309193164714,1.961902223927048e-52,0.7162475252151489,-0.3992016017436981,0.27,0.42,0.53,0.64,0.77
3,1000,0.75,1.0,2,250,real_TRE_Q,1,0.02,0.140625,False,400.3678283691406,0.19102225255834557,4.581310445711318e-56,0.7362475252151489,-0.4047505110502243,0.23,0.41,0.54,0.64,0.81
73,10000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,4241.05419921875,0.999999999999992,1.556664750631017e-61,0.7641516590118408,-0.43992016464471817,0.45,0.61,0.72,0.78,0.85
22,1000,0.75,1.0,2,250,rulsif,1,0.05,0.140625,False,448.4435729980469,0.4817607348701178,2.3732400618558604e-62,0.7681037855148315,-0.4440319426357746,0.37,0.61,0.75,0.81,0.83
10,1000,0.75,1.0,2,250,random_uniform,1,0.03,0.140625,False,371.6734313964844,0.02733580145898786,6.3514366149578564e-65,0.7801996517181397,-0.4382435120642185,0.36,0.49,0.65,0.77,0.88
46,5000,0.75,1.0,2,250,real_weights,1,0.04,0.140625,False,2004.71533203125,0.9999999999999934,1.1222896884496553e-66,0.7881437397003174,-0.43473053723573685,0.48,0.7,0.75,0.82,0.87
8,1000,0.75,1.0,2,250,real_TRE_Q,1,0.03,0.140625,False,442.410888671875,-0.06770904369396774,5.357089979368588e-69,0.7983034372329711,-0.44922156259417534,0.39,0.56,0.69,0.77,0.89
9,1000,0.75,1.0,2,250,NCE_Q,1,0.03,0.140625,False,461.37237548828125,-0.12396492435693325,2.631410903060037e-72,0.8120957469940185,-0.45796407759189606,0.45,0.58,0.73,0.86,0.89
