,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
24,5000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,2004.71533203125,0.9999999999999934,0.8878660719693166,0.05814373970031739,-0.011976003646850586,0.01,0.02,0.05,0.1,0.13
57,10000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,4241.05419921875,0.999999999999992,0.5889896996758482,0.07656692028045653,-0.02942115068435669,0.0,0.01,0.03,0.04,0.12
0,1000,0.75,1.0,2,250,real_weights,1,0.0,0.140625,False,445.2758483886719,0.9999999999998206,0.1947167807948141,0.10624752521514894,-0.05816367268562317,0.0,0.0,0.03,0.09,0.19
34,1000,0.75,1.0,2,250,rulsif,1,0.0,0.140625,False,433.53607177734375,0.2426929093197737,0.1767328088273735,0.10846301555633547,-0.03333333134651184,0.0,0.0,0.04,0.05,0.11
45,1000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,445.2758483886719,0.9999999999998206,0.15894052563353367,0.11083832263946536,-0.03081837296485901,0.0,0.0,0.04,0.08,0.1
29,5000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,2004.71533203125,0.9999999999999934,0.1322962021860176,0.11483028411865237,-0.03257483243942261,0.02,0.03,0.04,0.05,0.09
2,1000,0.75,1.0,2,250,real_weights,1,0.02,0.140625,False,445.2758483886719,0.9999999999998206,0.019312793094248257,0.15043913841247558,-0.0676247775554657,0.01,0.07,0.09,0.1,0.2
62,10000,0.75,1.0,2,250,real_weights,1,0.01,0.140625,False,4241.05419921875,0.999999999999992,0.008759650409292368,0.16281432628631587,-0.08447104692459106,0.02,0.02,0.06,0.14,0.23
7,1000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,445.2758483886719,0.9999999999998206,0.00011618360981269041,0.21822352886199953,-0.121357262134552,0.03,0.09,0.13,0.21,0.3
89,1000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,447.3115539550781,0.21734755946100914,1.3859091464271567e-05,0.24071857929229734,-0.12734532356262207,0.02,0.04,0.08,0.17,0.23
