,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
0,1000,0.0,1.0,2,250,real_weights,1,0.0,0.0,False,998.9358520507812,0.9999999999999998,0.686748426732304,0.07149703025817872,0.012375295162200928,0.0,0.01,0.01,0.03,0.06
14,5000,0.0,1.0,2,250,real_weights,1,0.0,0.0,False,4999.4326171875,1.0,0.5823874443261985,0.07692615032196048,-0.02083835005760193,0.0,0.01,0.03,0.05,0.08
4,10000,0.0,1.0,2,250,real_weights,1,0.0,0.0,False,9998.9326171875,0.9999999999999998,0.4556893741680692,0.08437122821807863,0.03117769956588745,0.0,0.02,0.02,0.06,0.09
1,1000,0.0,1.0,2,250,real_weights,1,0.1,0.0,False,998.9358520507812,0.9999999999999998,3.5809101107336644e-05,0.23095806598663327,-0.15045911073684692,0.03,0.1,0.13,0.2,0.29
10,1000,0.0,1.0,2,250,real_weights,1,0.2,0.0,False,998.9358520507812,0.9999999999999998,4.432747581572458e-52,0.7142315673828125,-0.40822355449199677,0.37,0.57,0.67,0.75,0.8
15,5000,0.0,1.0,2,250,real_weights,1,0.1,0.0,False,4999.4326171875,1.0,2.760926281344617e-80,0.8421756553649903,-0.4656686671078205,0.69,0.74,0.8,0.83,0.93
11,1000,0.0,1.0,2,250,real_weights,1,0.3,0.0,False,998.9358520507812,0.9999999999999998,3.1760538400917486e-127,0.9460478734970093,-0.4922954081557691,0.9,0.95,0.97,0.98,0.99
5,10000,0.0,1.0,2,250,real_weights,1,0.1,0.0,False,9998.9326171875,0.9999999999999998,1.3558821832780755e-192,0.9880239963531494,-0.49972056029946543,0.96,0.99,1.0,1.0,1.0
12,1000,0.0,1.0,2,250,real_weights,1,0.4,0.0,False,998.9358520507812,0.9999999999999998,2.628234928302387e-240,0.996008038520813,-0.4999600803857902,0.99,1.0,1.0,1.0,1.0
16,5000,0.0,1.0,2,250,real_weights,1,0.2,0.0,False,4999.4326171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
13,1000,0.0,1.0,2,250,real_weights,1,0.5,0.0,False,998.9358520507812,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
9,10000,0.0,1.0,2,250,real_weights,1,0.5,0.0,False,9998.9326171875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
8,10000,0.0,1.0,2,250,real_weights,1,0.4,0.0,False,9998.9326171875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
7,10000,0.0,1.0,2,250,real_weights,1,0.3,0.0,False,9998.9326171875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
6,10000,0.0,1.0,2,250,real_weights,1,0.2,0.0,False,9998.9326171875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
3,5000,0.0,1.0,2,250,real_weights,1,0.5,0.0,False,4999.4326171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
2,5000,0.0,1.0,2,250,real_weights,1,0.4,0.0,False,4999.4326171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
17,5000,0.0,1.0,2,250,real_weights,1,0.3,0.0,False,4999.4326171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
