,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
15,5000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,961.5142211914062,0.9999999999999998,0.9891582460340719,0.04441118240356445,-3.9905309677124023e-05,0.0,0.02,0.04,0.06,0.1
14,5000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,False,962.572021484375,1.0,0.9564856121591649,0.05109784603118894,0.002075791358947754,0.0,0.01,0.04,0.06,0.1
11,1000,0.25,1.0,2,250,real_weights,1,0.0,0.015625,False,191.8587188720703,0.9999999999999998,0.9225158253618675,0.05502993583679194,-0.00031936168670654297,0.0,0.0,0.01,0.04,0.07
4,10000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,False,1934.8394775390625,1.0,0.8128513572145611,0.06363273143768311,0.019800424575805664,0.01,0.02,0.04,0.05,0.08
12,1000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,187.22476196289062,1.0,0.7860543114918771,0.0667264986038208,-0.024790406227111816,0.0,0.01,0.02,0.05,0.12
7,10000,0.25,1.0,2,250,real_weights,1,0.0,0.015625,False,1891.993408203125,1.0,0.7520745528529806,0.06832335472106932,0.01576840877532959,0.01,0.01,0.05,0.05,0.08
5,10000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,1932.1217041015625,1.0,0.7262432411055274,0.06956086158752442,0.011736571788787842,0.01,0.02,0.02,0.05,0.07
17,5000,0.25,1.0,2,250,real_weights,1,0.0,0.015625,False,928.86474609375,0.9999999999999998,0.4808872995666903,0.08279440879821776,0.010179698467254639,0.0,0.01,0.04,0.08,0.14
3,5000,1.0,1.0,2,250,real_weights,1,0.0,0.25,False,866.2037353515625,0.9999999999999999,0.4451161772993595,0.08504997253417967,0.036846280097961426,0.0,0.0,0.01,0.04,0.07
16,5000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,False,955.700927734375,1.0,0.2687735487658461,0.09852300643920897,0.009421169757843018,0.0,0.02,0.04,0.05,0.1
9,10000,1.0,1.0,2,250,real_weights,1,0.0,0.25,False,1697.632568359375,1.0,0.26726907054995924,0.09866266727447509,-0.010858267545700073,0.0,0.0,0.02,0.04,0.12
6,10000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,False,1920.7457275390625,1.0,0.15511006285644455,0.11137728691101073,0.025309324264526367,0.01,0.01,0.04,0.05,0.06
10,1000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,False,193.2930450439453,1.0,0.12086386017381345,0.11674653530120849,0.03724551200866699,0.0,0.02,0.05,0.07,0.13
2,5000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,928.6452026367188,0.9999999999999998,0.08095632153358494,0.12489015579223633,0.06171649694442749,0.0,0.0,0.0,0.01,0.04
8,10000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,1858.6715087890625,1.0,0.07981191010577914,0.12516971588134768,0.05417168140411377,0.0,0.0,0.0,0.03,0.07
0,1000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,False,195.22792053222656,0.9999999999999998,0.060343586942237855,0.13053884506225588,0.040479063987731934,0.01,0.02,0.04,0.07,0.14
1,1000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,193.70989990234375,1.0,0.03895723308904547,0.138523006439209,0.0463871955871582,0.0,0.03,0.04,0.07,0.16
13,1000,1.0,1.0,2,250,real_weights,1,0.0,0.25,False,193.10504150390625,1.0,0.01099153675329373,0.15936120986938476,0.08423161506652832,0.0,0.01,0.02,0.03,0.05
