,n,$/beta_{xz}$,d_Z,beta_xy,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
4,10000,0.01,1,0.0,0.871853435099541,0.05942114114761354,0.006227552890777588,0.0,0.0,0.01,0.03,0.08
14,5000,0.01,1,0.0,0.7316219481311095,0.06930139780044553,-0.029740571975708008,0.0,0.0,0.03,0.06,0.12
7,10000,0.25,1,0.0,0.7090021467395881,0.07039919912815096,-0.02035921812057495,0.0,0.01,0.03,0.05,0.13
5,10000,0.05,1,0.0,0.6964135959337489,0.07101796746253969,0.0054291486740112305,0.0,0.0,0.0,0.04,0.07
6,10000,0.1,1,0.0,0.6472589135239568,0.07349301099777217,-0.006427168846130371,0.0,0.0,0.01,0.06,0.08
1,1000,0.05,1,0.0,0.4779717792796288,0.08297405362129207,-0.025748491287231445,0.0,0.02,0.03,0.08,0.13
0,1000,0.01,1,0.0,0.44976102562497616,0.08475049495697023,-0.01964077353477478,0.0,0.0,0.01,0.03,0.13
10,1000,0.1,1,0.0,0.31619765796647875,0.09439122021198271,-0.037285447120666504,0.0,0.01,0.05,0.09,0.14
15,5000,0.05,1,0.0,0.31088559841225905,0.09483034372329713,-0.03628745675086975,0.0,0.0,0.03,0.09,0.15
11,1000,0.25,1,0.0,0.3037475997455287,0.09542912006378179,-0.05129736661911011,0.01,0.02,0.05,0.07,0.12
16,5000,0.1,1,0.0,0.21158053352906464,0.10431137144565583,-0.05141717195510864,0.01,0.02,0.06,0.09,0.15
17,5000,0.25,1,0.0,0.11802390547425644,0.11724548578262328,-0.060758501291275024,0.0,0.03,0.03,0.07,0.18
12,1000,0.5,1,0.0,0.01156063321607829,0.1585828483104706,-0.08894211053848267,0.0,0.03,0.06,0.12,0.22
13,1000,1.0,1,0.0,0.0021730896211828096,0.18257483959197995,-0.10071852803230286,0.01,0.02,0.06,0.15,0.21
8,10000,0.5,1,0.0,1.1562293369307331e-05,0.24253494501113892,-0.14514973759651184,0.02,0.05,0.13,0.19,0.28
2,5000,0.5,1,0.0,1.0836088137512454e-06,0.2650698900222779,-0.17836326360702515,0.03,0.08,0.18,0.2,0.31
9,10000,1.0,1,0.0,7.612506496691297e-09,0.3066467094421387,-0.18291416764259338,0.03,0.09,0.15,0.2,0.28
3,5000,1.0,1,0.0,1.8016885523786496e-23,0.49826346814632416,-0.2920558750629425,0.07,0.17,0.26,0.36,0.53
