,perm,$/beta_{xz}$,$c_q$,# perm,vari,nce_style,d_Z,beta_xy,EFF w_q,KS pval,power_alpha=0.001,power_alpha=0.01,power_alpha=0.05,power_alpha=0.1
14,Y,0.5,1.0,250,1,NCE,1,0.01,9397.15,0.7754820856118972,0.0,0.01,0.06,0.12
12,Y,0.5,1.0,250,1,NCE,1,0.001,9397.15,0.5297783889147315,0.0,0.01,0.04,0.1
38,Y,0.0,1.0,250,1,NCE,1,0.01,10000.0,0.48357488034416685,0.0,0.01,0.03,0.07
48,Y,0.25,1.0,250,1,NCE,3,0.001,9413.92,0.31485133384777714,0.0,0.02,0.05,0.16
36,Y,0.0,1.0,250,1,NCE,1,0.001,10000.0,0.23017440890761084,0.0,0.01,0.03,0.07
50,Y,0.25,1.0,250,1,NCE,3,0.01,9413.92,0.20987143873200692,0.0,0.02,0.06,0.16
2,Y,0.25,1.0,250,1,NCE,1,0.01,9851.92,0.16416692130186744,0.0,0.0,0.03,0.06
0,Y,0.25,1.0,250,1,NCE,1,0.001,9851.92,0.06248805752372107,0.0,0.0,0.04,0.06
91,Y,0.25,1.0,250,1,NCE,50,0.001,6107.28,0.0032613119361060328,0.06,0.06,0.15,0.21
62,Y,0.5,1.0,250,1,NCE,3,0.01,7817.44,0.0004869415274845297,0.01,0.03,0.12,0.24
60,Y,0.5,1.0,250,1,NCE,3,0.001,7817.44,0.00010524745338407421,0.02,0.03,0.14,0.21
93,Y,0.25,1.0,250,1,NCE,50,0.01,6107.28,3.0877183726344654e-05,0.04,0.12,0.21,0.29
40,Y,0.0,1.0,250,1,NCE,1,0.1,10000.0,5.222034019068273e-09,0.02,0.05,0.15,0.27
52,Y,0.25,1.0,250,1,NCE,3,0.1,9413.92,1.7751738912920754e-12,0.04,0.1,0.28,0.36
4,Y,0.25,1.0,250,1,NCE,1,0.1,9851.92,1.345750611986361e-14,0.04,0.09,0.28,0.39
103,Y,0.5,1.0,250,1,NCE,50,0.001,1478.0,6.581811315150405e-24,0.16,0.29,0.48,0.56
16,Y,0.5,1.0,250,1,NCE,1,0.1,9397.15,8.16812548349723e-29,0.1,0.18,0.46,0.57
64,Y,0.5,1.0,250,1,NCE,3,0.1,7817.44,2.8298417682755744e-32,0.15,0.28,0.54,0.64
